classification,file,label,hit_count,lines,decision,owner,phase2_status,reason,sample_source
render pass,SkullbonezSource/Rendering/Text.cpp,CreateShaderFromActiveAssets(),3,532;537;540,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.",Text2d::pTextShader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(               );
render pass,SkullbonezSource/Rendering/Text.cpp,Gfx(),33,248;519;523;529;592;597;602;607;738;739;741;742;743;747;750;752;753;837;838;840;841;842;848;850;851;962;963;965;966;967;973;975;976,owned by future render-resource context,Future render-resource context,deferred,"Helper, text, shadow, and draw-path globals require borrowed IRenderCommandContext/IRenderResourceFactory or shader creation contexts.","Text2d::fontTexture = Gfx().CreateTexture2D( pixels.get(), FONT_ATLAS_W, FONT_ATLAS_H, 1, false, true );"
normal runtime path,SkullbonezSource/Runtime/Camera.cpp,Cfg(),22,91;131;244;246;248;250;253;254;257;259;261;263;266;267;329;330;331;332;429;431;437;439,owned by future camera settings context,Future runtime settings context,deferred,Camera globals are config reads only after singleton removal; pass a camera/settings context in a later Phase 2 slice.,"if ( Vector::Distance( m_position, m_view ) < Cfg().minViewMag )"
normal runtime path,SkullbonezSource/Runtime/CameraCollection.cpp,Cfg(),1,381,owned by future camera settings context,Future runtime settings context,deferred,Camera globals are config reads only after singleton removal; pass a camera/settings context in a later Phase 2 slice.,m_tweenCamera.m_position.y = terrainHeight + Cfg().minCameraHeight;
render pass,SkullbonezSource/Runtime/Render/RuntimeRenderHost.cpp,Cfg(),4,51;57;91;96,owned by future render settings context,Future render-resource context,deferred,Rows are render-frame configuration reads that should eventually arrive through render inputs/settings instead of Cfg().,"return RunInternal::RuntimeActiveCinematicConfig( m_sceneController.State(), Cfg() );"
normal runtime path,SkullbonezSource/Runtime/Replay/RunReplayCauseTreeTools.inl,Cfg(),2,140;141,owned by Phase 5 replay compatibility,Phase 5 replay owner / future replay services context,deferred,Replay helpers retain config/worker bridges after the replay owner slice; changing them risks replay determinism and prediction scheduling.,"const int screenW = RuntimeWindowScreenWidth( m_systems, Cfg() );"
normal runtime path,SkullbonezSource/Runtime/Replay/RunReplayPredictionHelpers.inl,WorkerPool::Instance(),2,1087;1169,owned by Phase 5 replay compatibility,Phase 5 replay owner / future replay services context,deferred,Replay helpers retain config/worker bridges after the replay owner slice; changing them risks replay determinism and prediction scheduling.,SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor(
normal runtime path,SkullbonezSource/Runtime/Replay/RunReplayScrubberTools.inl,Cfg(),2,246;247,owned by Phase 5 replay compatibility,Phase 5 replay owner / future replay services context,deferred,Replay helpers retain config/worker bridges after the replay owner slice; changing them risks replay determinism and prediction scheduling.,"const int screenW = RuntimeWindowScreenWidth( m_systems, Cfg() );"
normal runtime path,SkullbonezSource/Runtime/Replay/RunReplayVelocityEdit.inl,Cfg(),2,248;249,owned by Phase 5 replay compatibility,Phase 5 replay owner / future replay services context,deferred,Replay helpers retain config/worker bridges after the replay owner slice; changing them risks replay determinism and prediction scheduling.,"!SceneState().isScenePhysics || RuntimeWindowScreenWidth( m_systems, Cfg() ) <= 0 ||"
normal runtime path,SkullbonezSource/Runtime/Run.cpp,Cfg(),8,158;159;160;162;376;1208;1219;1307,accepted composition-root borrow,Run composition root,accepted compatibility debt,Run still performs top-level service/lifecycle wiring; these globals are retained as audited composition-root compatibility debt.,m_runtimeSettings.isVsyncEnabled = Cfg().runtimeRender.vsyncEnabled;
normal runtime path,SkullbonezSource/Runtime/Run.cpp,Gfx(),8,247;327;368;518;519;1189;1298;1309,accepted composition-root borrow,Run composition root,accepted compatibility debt,Run still performs top-level service/lifecycle wiring; these globals are retained as audited composition-root compatibility debt.,Gfx().FlushGPU();
normal runtime path,SkullbonezSource/Runtime/Run.cpp,Profiler::Instance(),1,334,accepted composition-root borrow,Run composition root,accepted compatibility debt,Run still performs top-level service/lifecycle wiring; these globals are retained as audited composition-root compatibility debt.,Profiler::Instance().InvalidateGpuQueries();
normal runtime path,SkullbonezSource/Runtime/RunFrame.cpp,Cfg(),7,1735;1748;2263;2414;2581;2581;2589,owned by future frame diagnostics/settings context,Future runtime settings / DiagnosticsRuntime context,deferred,"Frame lifecycle still has config, renderer, and profiler bridges; replacing them spans diagnostics and frame services.","Cfg(),"
normal runtime path,SkullbonezSource/Runtime/RunFrame.cpp,Gfx(),1,354,owned by future frame diagnostics/settings context,Future runtime settings / DiagnosticsRuntime context,deferred,"Frame lifecycle still has config, renderer, and profiler bridges; replacing them spans diagnostics and frame services.",IRenderBackend& frameRenderBackend = Gfx();
normal runtime path,SkullbonezSource/Runtime/RunFrame.cpp,Profiler::Instance(),3,475;476;495,owned by future frame diagnostics/settings context,Future runtime settings / DiagnosticsRuntime context,deferred,"Frame lifecycle still has config, renderer, and profiler bridges; replacing them spans diagnostics and frame services.",m_timers.physicsTime = Profiler::Instance().LastFrameMsByHash( kPhysicsHash ) * 0.001f;
normal runtime path,SkullbonezSource/Runtime/RunInput.cpp,Cfg(),22,1482;1485;2271;2655;2657;2659;2665;2665;2671;2671;2681;2767;2847;2876;2883;2894;3103;3147;3150;3236;3241;3243,owned by future runtime input/settings context,Future runtime settings context,deferred,Input still reads config and renderer state directly; a narrow settings/window/render service context should replace it later.,m_camera.input.xMove * CAMERA_MOUSE_REFERENCE_DT * Cfg().mouseSensitivity );
normal runtime path,SkullbonezSource/Runtime/RunInput.cpp,Gfx(),4,1979;2078;2408;2773,owned by future runtime input/settings context,Future runtime settings context,deferred,Input still reads config and renderer state directly; a narrow settings/window/render service context should replace it later.,"IsGfxReady() ? Gfx().GetRendererName() :             ,"
normal runtime path,SkullbonezSource/Runtime/RunLiveStyle.cpp,Cfg(),1,266,owned by future runtime settings context,Future runtime settings context,deferred,Live-style config access should be routed through explicit runtime settings when that context exists.,"RuntimeActiveCinematicConfig( SceneState(), Cfg() ),"
render pass,SkullbonezSource/Runtime/RunPasses.cpp,Cfg(),6,278;278;309;309;898;899,owned by future render settings context,Future render-resource context,deferred,Rows are render-frame configuration reads that should eventually arrive through render inputs/settings instead of Cfg().,"shader.SetVec4(               , Cfg().frustumNear, Cfg().frustumFar, 0.0f, 0.0f );"
render pass,SkullbonezSource/Runtime/RunRender.cpp,Cfg(),3,1112;1630;1631,accepted composition-root borrow,Run render composition root,accepted compatibility debt,RunRender wires the runtime render services and raytracing borrow; pass bodies stay on narrower contexts.,const OrdinaryRenderConfig& ordinaryRender = Cfg().ordinaryRender;
render pass,SkullbonezSource/Runtime/RunRender.cpp,Gfx(),1,1467,accepted composition-root borrow,Run render composition root,accepted compatibility debt,RunRender wires the runtime render services and raytracing borrow; pass bodies stay on narrower contexts.,IRenderBackend& renderBackend = Gfx();
render pass,SkullbonezSource/Runtime/RunRender.cpp,GfxRayTracing(),1,1475,accepted composition-root borrow,Run render composition root,accepted compatibility debt,RunRender wires the runtime render services and raytracing borrow; pass bodies stay on narrower contexts.,IsGfxRayTracingReady() ? &GfxRayTracing() : nullptr;
render pass,SkullbonezSource/Runtime/RunUiTextPass.cpp,Cfg(),1,351,owned by future UI text render/diagnostics context,Future render-resource context,deferred,"UI text pass still borrows config, worker, and profiler globals; replacing them spans render text scheduling and diagnostics UI.",UIData.ordinaryRender = Cfg().ordinaryRender;
render pass,SkullbonezSource/Runtime/RunUiTextPass.cpp,Profiler::Instance(),2,532;640,owned by future UI text render/diagnostics context,Future render-resource context,deferred,"UI text pass still borrows config, worker, and profiler globals; replacing them spans render text scheduling and diagnostics UI.","Profiler::Instance().RenderBarOverlay( panX, panY, panW, panH, absolute );"
render pass,SkullbonezSource/Runtime/RunUiTextPass.cpp,WorkerPool::Instance(),1,266,owned by future UI text render/diagnostics context,Future render-resource context,deferred,"UI text pass still borrows config, worker, and profiler globals; replacing them spans render text scheduling and diagnostics UI.",UIData.workerThreadCount = SkullbonezCore::Threading::WorkerPool::Instance().GetThreadCount();
diagnostics,SkullbonezSource/Runtime/RuntimeDiagnostics.cpp,Profiler::Instance(),2,336;339,diagnostics exception,DiagnosticsRuntime / profiler facade,accepted compatibility debt,Runtime diagnostics is the current profiler bridge; replacing Profiler::Instance() here is a future diagnostics-facade cleanup.,Profiler::Instance().WritePerfCSVHeader( perfLog.perfLogFile );
normal runtime path,SkullbonezSource/Runtime/RuntimeTuning.cpp,Cfg(),1,203,owned by future tuning/worker service context,Future runtime settings / worker-service context,deferred,Runtime tuning mutates config/worker behavior; migrating it needs an explicit tuning context and worker-service borrow.,Cfg().workerThreads = clampedWorkerThreads;
normal runtime path,SkullbonezSource/Runtime/RuntimeTuning.cpp,WorkerPool::Instance(),1,201,owned by future tuning/worker service context,Future runtime settings / worker-service context,deferred,Runtime tuning mutates config/worker behavior; migrating it needs an explicit tuning context and worker-service borrow.,SkullbonezCore::Threading::WorkerPool& workerPool = SkullbonezCore::Threading::WorkerPool::Instance();
normal runtime path,SkullbonezSource/Runtime/Scene/RunScene.cpp,Cfg(),18,61;423;581;585;586;663;674;676;693;711;727;772;830;834;840;862;969;1015,owned by future scene runtime services context,Future runtime settings/worker context,deferred,"Scene load config and worker reads need explicit scene runtime services, but changing them is broader than this audit closure.",Cfg().workerThreads = clampedWorkerThreads;
normal runtime path,SkullbonezSource/Runtime/Scene/RunScene.cpp,Gfx(),9,560;675;713;822;831;906;1041;1055;1067,owned by future scene render-resource context,Future render-resource context,deferred,Scene load/render setup borrows backend capabilities directly; migrating it spans renderer setup and scene lifecycle.,"IsGfxReady() ? &Gfx() : nullptr,"
normal runtime path,SkullbonezSource/Runtime/Scene/RunScene.cpp,GfxRayTracing(),1,1075,owned by future scene render-resource context,Future render-resource context,deferred,Scene load/render setup borrows backend capabilities directly; migrating it spans renderer setup and scene lifecycle.,auto& rayTracing = GfxRayTracing();
normal runtime path,SkullbonezSource/Runtime/Scene/RunScene.cpp,WorkerPool::Instance(),1,59,owned by future scene runtime services context,Future runtime settings/worker context,deferred,"Scene load config and worker reads need explicit scene runtime services, but changing them is broader than this audit closure.",SkullbonezCore::Threading::WorkerPool& workerPool = SkullbonezCore::Threading::WorkerPool::Instance();
render pass,SkullbonezSource/UI/UI.cpp,CreateShaderFromActiveAssets(),1,594,owned by future UI render context,Future render-resource context,deferred,The immediate stale UIBackdropBlur globals were removed from the allowlist; remaining UI.cpp draw/shader globals need an explicit UI render context.,shader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(                                   );
render pass,SkullbonezSource/UI/UI.cpp,Gfx(),16,602;613;657;658;659;662;665;666;667;672;675;677;678;679;680;681,owned by future UI render context,Future render-resource context,deferred,The immediate stale UIBackdropBlur globals were removed from the allowlist; remaining UI.cpp draw/shader globals need an explicit UI render context.,"dynamicVB = Gfx().CreateDynamicVB( attribs, 2, 6 );"
diagnostics,SkullbonezSource/UI/UITabProfiler.cpp,Gfx(),1,161,diagnostics exception,Future UI diagnostics view / DiagnosticsRuntime facade,accepted compatibility debt,Profiler UI reads live diagnostics/profiler state and still owns direct draw/profiler bridges until a UI diagnostics context exists.,return SkullbonezCore::Rendering::Gfx().GetFrameDrawCallTrace();
diagnostics,SkullbonezSource/UI/UITabProfiler.cpp,Profiler::Instance(),6,243;299;435;484;571;1002,diagnostics exception,Future UI diagnostics view / DiagnosticsRuntime facade,accepted compatibility debt,Profiler UI reads live diagnostics/profiler state and still owns direct draw/profiler bridges until a UI diagnostics context exists.,const SkullbonezCore::Basics::Profiler& profiler = SkullbonezCore::Basics::Profiler::Instance();
render pass,SkullbonezSource/World/SkyBox.cpp,Cfg(),2,52;65,owned by future world render-resource context,Future render-resource context,deferred,World terrain/skybox rendering still creates or binds resources directly; migrating it is a cross-cutting render-resource context slice.,const SkullbonezCore::Basics::EngineConfig& cfg = Cfg();
render pass,SkullbonezSource/World/SkyBox.cpp,CreateShaderFromActiveAssets(),1,127,owned by future world render-resource context,Future render-resource context,deferred,World terrain/skybox rendering still creates or binds resources directly; migrating it is a cross-cutting render-resource context slice.,m_shader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(                         );
render pass,SkullbonezSource/World/SkyBox.cpp,Gfx(),1,124,owned by future world render-resource context,Future render-resource context,deferred,World terrain/skybox rendering still creates or binds resources directly; migrating it is a cross-cutting render-resource context slice.,"m_faceMeshes[i] = Gfx().CreateMesh( faceData[i], 6, false, true );"
render pass,SkullbonezSource/World/Terrain.cpp,Cfg(),22,135;183;309;419;419;432;459;459;561;656;656;714;715;734;735;767;768;774;842;843;843;844,owned by future world render-resource context,Future render-resource context,deferred,World terrain/skybox rendering still creates or binds resources directly; migrating it is a cross-cutting render-resource context slice.,const auto& ordinary = Cfg().ordinaryRender;
render pass,SkullbonezSource/World/Terrain.cpp,CreateShaderFromActiveAssets(),2,133;604,owned by future world render-resource context,Future render-resource context,deferred,World terrain/skybox rendering still creates or binds resources directly; migrating it is a cross-cutting render-resource context slice.,m_terrainShader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(                       );
render pass,SkullbonezSource/World/Terrain.cpp,Gfx(),2,1217;1279,owned by future world render-resource context,Future render-resource context,deferred,World terrain/skybox rendering still creates or binds resources directly; migrating it is a cross-cutting render-resource context slice.,"m_terrainMesh = Gfx().CreateMesh( vertexData.data(),"
normal runtime path,SkullbonezSource/World/WorldEnvironment.cpp,Cfg(),20,126;127;145;171;172;185;253;293;397;403;404;405;414;415;417;422;423;424;570;607,owned by future world render-resource context,Future render-resource context,deferred,"Water/world environment code mixes config, shader factory, and backend access; moving it belongs with the world render-resource context.",style.waveHeight = Cfg().oceanWaveHeight;
normal runtime path,SkullbonezSource/World/WorldEnvironment.cpp,CreateShaderFromActiveAssets(),2,392;410,owned by future world render-resource context,Future render-resource context,deferred,"Water/world environment code mixes config, shader factory, and backend access; moving it belongs with the world render-resource context.",m_calmShader = SkullbonezCore::Assets::CreateShaderFromActiveAssets(                     );
normal runtime path,SkullbonezSource/World/WorldEnvironment.cpp,Gfx(),3,260;389;390,owned by future world render-resource context,Future render-resource context,deferred,"Water/world environment code mixes config, shader factory, and backend access; moving it belongs with the world render-resource context.","Gfx().BindTexture( reflection.textureHandle, 1 );"
