id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
RHOST-011,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,105,RenderFrameContext,"Frame context exists but still coexists with broad host access.",RenderFrameSnapshot,"Move pass-needed runtime fields into context or typed pass inputs.",validate_dx12_renderer,safe
RHOST-012,high,done,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,322,FullscreenQuadPass(RuntimeRenderHost&),"Pass constructors depend on broad host.",Pass-local narrow deps,"Replace host constructor arg one pass at a time.",validate_dx12_renderer,safe
RHOST-013,high,done,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,344,SkyPass(RuntimeRenderHost&),"Sky pass depends on broad host.",SkyPassInputs,"Pass sky resources/config/services explicitly.",validate_dx12_renderer,safe
RHOST-014,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,391,ShadowPass(RuntimeRenderHost&),"Shadow pass depends on broad host.",ShadowPassInputs,"Pass terrain/render instances/colliders/config explicitly.",validate_dx12_renderer,safe
RHOST-015,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,434,ReflectionPass(RuntimeRenderHost&),"Reflection pass depends on broad host.",ReflectionPassInputs,"Pass DXR capability/textures/timers/config explicitly.",validate_dx12_renderer,safe
RHOST-016,high,open,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,456,ObjectPass(RuntimeRenderHost&),"Object pass depends on broad host.",ObjectPassInputs,"Use RenderFrameContext plus object render snapshot only.",validate_dx12_renderer,safe
RHOST-017,high,done,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,477,TerrainPass(RuntimeRenderHost&),"Terrain pass depends on broad host.",TerrainPassInputs,"Pass terrain/render services/config explicitly.",validate_dx12_renderer,safe
RHOST-018,high,done,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,498,WaterPass(RuntimeRenderHost&),"Water pass depends on broad host/world state.",WaterPassInputs,"Pass water render style/world snapshot explicitly.",validate_dx12_renderer,safe
RHOST-019,medium,open,SkullbonezSource/Runtime/Render/RuntimeRenderPasses.h,551,DebugOverlayPass(RuntimeRenderHost&),"Debug overlay depends on broad host/tools/replay/debug state.",DebugOverlaySnapshot,"Build debug overlay snapshot before render pass.",validate_dx12_renderer,safe
RHOST-020,medium,open,SkullbonezSource/Runtime/Render/RuntimeRenderer.h,155,m_host,"RuntimeRenderer owns a broad host reference.",RuntimeRenderer services,"Replace host member with pass service bundle that shrinks as rows migrate.",validate_dx12_renderer,safe
RHOST-021,high,open,SkullbonezSource/Runtime/RunPasses.cpp,158,RenderCommands helper,"Good narrow helper exists but many pass bodies still use m_host.",RenderFrameContext,"Prefer context helpers over host fields; ban new direct host field access.",validate_dx12_renderer,safe
RHOST-022,high,open,SkullbonezSource/Runtime/RunPasses.cpp,656,ShadowPass terrain/resources,"Shadow pass pulls terrain/resources/debug through host.",ShadowPassInputs,"Move terrain bounds/resources/debug flags into pass input struct.",validate_dx12_renderer,safe
RHOST-023,high,done,SkullbonezSource/Runtime/RunPasses.cpp,969,SkyPass::RenderCinematicSky,"Sky pass reads active cinematic/resources from host.",SkyPassInputs,"Put active cinematic and sky resources in frame/pass input.",validate_dx12_renderer,safe
RHOST-024,high,done,SkullbonezSource/Runtime/RunPasses.cpp,1021,SceneTargetPass::Begin,"Scene target pass accesses cinematic resources through host.",SceneTargetPassInputs,"Pass scene target resources explicitly.",validate_dx12_renderer,safe
RHOST-025,high,open,SkullbonezSource/Runtime/RunPasses.cpp,1054,ReflectionPass DXR branch,"Reflection pass reaches debug/settings/timers/textures via host.",ReflectionPassInputs,"Build reflection request snapshot before pass.",validate_dx12_renderer,safe
RHOST-026,high,open,SkullbonezSource/Runtime/RunPasses.cpp,1163,ObjectPass texture/model rendering,"Object pass uses host texture/config/debug state.",ObjectPassInputs,"Use texture service and object render frame view only.",validate_dx12_renderer,safe
RHOST-027,medium,done,SkullbonezSource/Runtime/RunPasses.cpp,1264,TerrainPass,"Terrain pass accesses terrain/debug via host.",TerrainPassInputs,"Pass terrain pointer/snapshot and render style explicitly.",validate_dx12_renderer,safe
RHOST-028,medium,done,SkullbonezSource/Runtime/RunPasses.cpp,1353,WaterPass,"Water rendering calls WorldEnvironment through host.",WaterRenderSystem,"Move water render resources/style out of host/world coupling.",validate_dx12_renderer,safe
RHOST-029,medium,open,SkullbonezSource/Runtime/RunPasses.cpp,1715,DebugOverlayPass,"Debug overlay reads broad debug/tools/replay host state.",DebugOverlaySnapshot,"Build one overlay snapshot and render from it.",validate_dx12_renderer,safe
RHOST-030,medium,done,SkullbonezSource/Runtime/RunPasses.cpp,1900,VolumetricPass,"Volumetric pass reads cinematic/resources via host.",PostPassInputs,"Pass post resources/config through post stack input.",validate_dx12_renderer,safe
RHOST-031,medium,done,SkullbonezSource/Runtime/RunPasses.cpp,2027,TonemapPass,"Tonemap pass reads host resources/config.",PostPassInputs,"Pass tonemap resources and config explicitly.",validate_dx12_renderer,safe
RHOST-032,high,open,SkullbonezSource/Runtime/Run.h,275,BuildRuntimeRenderHostBindings,"Run builds the broad render host service locator.",Render bootstrap,"Delete fields from binding as each pass migrates.",validate_dx12_renderer,safe
RHOST-033,medium,done,tools/check_runtime_boundaries.py,0,render host guardrail,"No ratchet prevents new m_host.m_ coupling.",Boundary checker,"Add check rejecting new direct host field access in render pass files.",validate_fast,safe
