id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
SVC-015,medium,open,SkullbonezSource/Runtime/Run.cpp,412,Profiler::Instance,"Run invalidates profiler GPU queries directly.",RuntimeDiagnostics,"Move profiler query invalidation behind diagnostics/render diagnostics service.",validate_full,safe
SVC-016,high,done,SkullbonezSource/Runtime/Run.cpp,1324,Gfx render backend,"Run imports render backend globally.",RenderContext,"Use RuntimeRenderBackendView from startup instead.",validate_dx12_renderer,safe
SVC-017,high,done,SkullbonezSource/Runtime/RunRender.cpp,1170,Cfg ordinaryRender,"Render path reads global config.",RenderFrameConfig,"Use active config/frame snapshot from Run/SceneRuntime.",validate_dx12_renderer,safe
SVC-018,high,done,SkullbonezSource/Runtime/RunRender.cpp,1232,Cfg RenderHelperContext,"Render helper context gets global config.",RenderFrameConfig,"Pass m_config or immutable frame config explicitly.",validate_dx12_renderer,safe
SVC-019,high,done,SkullbonezSource/Runtime/RunRender.cpp,1589,Gfx render backend,"Render path calls global renderer.",RuntimeRenderer RenderContext,"Use frame render command/resource/diagnostics contexts.",validate_dx12_renderer,safe
SVC-020,medium,done,SkullbonezSource/Runtime/RunFrame.cpp,532,Gfx frameRenderBackend,"Frame loop reads global renderer.",RuntimeFrameServices,"Use renderer capability owned by Run startup context.",validate_full,safe
SVC-021,medium,open,SkullbonezSource/Runtime/RunFrame.cpp,694,Profiler::Instance timing,"Frame timing reads profiler singleton.",RuntimeDiagnostics,"Publish profiler timing through diagnostics snapshot.",validate_full,safe
SVC-022,medium,blocked,SkullbonezSource/Runtime/RuntimeDiagnostics.cpp,363,Profiler::Instance CSV,"Runtime diagnostics writes perf CSV through singleton.",DiagnosticsController,"Inject profiler diagnostics capability.",validate_fast,safe
SVC-023,medium,open,SkullbonezSource/Core/Profiler.cpp,454,Gfx platform profiler,"Profiler calls renderer global for GPU markers.",RenderDiagnostics,"Route GPU marker capability into profiler or keep as documented temporary exception.",platform-profiler-markers,safe
SVC-024,high,done,SkullbonezSource/Physics/TornadoField.cpp,328,Gfx capabilities,"Physics visualization calls renderer global.",DebugLineRenderContext,"Pass debug-line capability into render-only visualization path.",validate_dx12_renderer,safe
SVC-025,high,done,SkullbonezSource/Physics/TornadoField.cpp,411,Gfx DrawLinesColored,"Physics visualization draws through global renderer.",DebugLineRenderContext,"Move drawing out of physics field into renderer/debug overlay owner.",validate_dx12_renderer,safe
SVC-026,high,done,SkullbonezSource/Runtime/Editor/LauncherLaser.cpp,79,Gfx DestroyDynamicVB,"Editor tool owns GPU resources through global renderer.",RenderResourceFactory,"Pass render resource factory into laser resource lifecycle.",validate_dx12_renderer,safe
SVC-027,high,done,SkullbonezSource/Runtime/Editor/LauncherLaser.cpp,391,Gfx render state save,"Editor overlay mutates global render state.",RenderCommandContext,"Render laser through explicit command context with state guard.",validate_dx12_renderer,safe
SVC-028,high,done,SkullbonezSource/Runtime/Editor/RunEditorTracer.inl,656,Gfx DrawLinesColored,"Editor tracer draws through global renderer.",DebugLineRenderContext,"Pass line draw capability through overlay render context.",validate_dx12_renderer,safe
SVC-029,medium,open,SkullbonezSource/Runtime/Window.cpp,99,Gfx Resize,"Window resize calls global renderer.",PlatformWindow resize callback,"Route resize to engine/render context callback.",validate_full,defer
SVC-030,medium,done,SkullbonezSource/Runtime/Window.cpp,109,Cfg frustum,"Window computes projection from global config.",Window/Camera config snapshot,"Pass camera projection settings to window/camera owner.",validate_full,safe
SVC-031,medium,done,SkullbonezSource/Runtime/Editor/LauncherTools.cpp,318,Cfg contactEpsilon,"Editor repro tools read global physics config.",LauncherToolConfig,"Pass physics contact policy into tool context.",validate_physics,safe
SVC-032,medium,blocked,SkullbonezSource/UI/UITabProfiler.cpp,165,Gfx draw trace,"UI profiler reads renderer global.",RenderDiagnostics snapshot,"Feed draw trace through RuntimeViewModel/diagnostics data.",validate_fast,safe
SVC-033,medium,blocked,SkullbonezSource/UI/UITabProfiler.cpp,247,Profiler::Instance,"UI profiler reads profiler singleton repeatedly.",ProfilerSnapshot,"Build profiler tab from diagnostics snapshot.",validate_fast,safe
SVC-034,medium,blocked,SkullbonezSource/Core/LockOrderValidator.cpp,112,LockOrderValidator::Instance,"Instrumentation singleton is probably acceptable.",Diagnostics infrastructure,"Classify as allowed diagnostic singleton and exclude from normal-path ban.",validate_fast,safe
SVC-035,medium,done,tools/check_runtime_boundaries.py,0,service global guardrail,"No authoritative ratchet for new global service calls by scope.",Boundary checker,"Add directory-scoped denylist for Gfx/Cfg/Instance with explicit allowlist.",validate_fast,safe
