id,priority,status,file,line,symbol,current_problem,target_owner,action,validation,overnight
PHYS-015,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,307,ApplyRuntimeConfig,"Collection applies physics material/contact policy and repairs topology.",PhysicsScene config policy,"Apply physics config inside PhysicsScene; collection only updates presentation toggles.",validate_physics,safe
PHYS-016,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,368,AppendGameModelAndPhysicsRows,"Append mutates GameModel storage and physics rows together.",Scene/entity creation pipeline,"Split creation into scene entity, physics body/collider, and presentation registration steps.",validate_full,defer
PHYS-017,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,403,m_gameModels.push_back,"Model append remains the root creation side effect.",Scene/entity creation pipeline,"Create entity first, then register model presentation as one component/view.",validate_full,defer
PHYS-018,medium,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,432,Clear,"Collection clears model, descriptor, presentation, and physics state together.",World/scene reset owner,"Split clear/reset by subsystem owner behind scene lifecycle.",validate_full,defer
PHYS-019,high,open,SkullbonezSource/GameObjects/GameModelCollection.cpp,1223,RefreshRenderInstances,"Render store refresh reads GameModel material names and highlights.",RenderProjectionOwner,"Feed render instance refresh from presentation records owned outside GameModel.",validate_dx12_renderer,safe
PHYS-020,high,open,SkullbonezSource/Physics/PhysicsScene.h,193,m_world/m_bodyStore/m_colliderStore/m_renderInstanceStore,"These stores are the target authority but remain behind collection ownership.",PhysicsScene,"Promote PhysicsScene/PhysicsEngine ownership to world/runtime owner.",validate_physics,defer
PHYS-021,medium,open,SkullbonezSource/Physics/PhysicsWorld.h,98,m_spatialGrid/m_candidatePairs/m_timeRemaining,"Hot physics working state remains monolithic and model-indexed.",PhysicsWorld data slices,"Split broadphase/sleep/contact/narrowphase scratch only after authority migration.",validate_physics+validate_perf,defer
PHYS-022,medium,open,SkullbonezSource/Physics/PhysicsWorld.h,260,m_persistentContacts and scratch arrays,"Persistent contacts and diagnostics share one very wide owner.",Contact solver/diagnostics stores,"Extract only after deterministic store authority is stable.",validate_physics,defer
PHYS-023,high,open,SkullbonezSource/Physics/ColliderStore.cpp,70,ResolveHandleForModelIndex,"Collider handles still resolve through model index compatibility.",Collider handle allocator,"Move callers to handle/scene-object id lookup; keep model index only as UI hint.",validate_physics,safe
PHYS-024,high,open,SkullbonezSource/Physics/ColliderStore.cpp,389,HandleForModelIndex,"Public model-index handle lookup keeps model order authoritative.",Collider query API,"Replace with scene-object/body handle lookup for non-UI paths.",validate_physics,safe
PHYS-025,high,open,SkullbonezSource/Runtime/Scene/SceneAuthoredSetup.h,93,SceneAuthoredSetupContext.models,"Scene setup depends on GameModelCollection plus PhysicsEngine.",Scene creation pipeline,"Create scene entities and physics rows through owner-specific builders.",validate_full,defer
PHYS-026,high,open,SkullbonezSource/Runtime/Scene/RunScene.cpp,634,m_cGameModelCollection.Clear,"Scene load resets collection directly.",SceneRuntimeLoader,"Scene loader coordinates owner resets without direct collection authority.",validate_full,defer
PHYS-027,high,open,SkullbonezSource/Runtime/Scene/RunScene.cpp,740,SetupAuthoredScene models/physics,"Scene load passes collection and physics engine together.",Scene creation pipeline,"Replace with entity/physics/render setup contexts.",validate_full,defer
PHYS-028,high,open,SkullbonezSource/Runtime/Tools/RuntimeTools.h,359,FireLauncherRay(GameModelCollection&),"Runtime tools take collection authority.",Runtime tool physics commands,"Change tools to consume pick result plus PhysicsEngine command API.",validate_physics,safe
PHYS-029,high,open,SkullbonezSource/Runtime/Tools/RuntimeTools.cpp,76,RepairLauncherPhysicsStores,"Launcher tool repairs collection topology before commands.",Physics command API,"Require current body/collider stores at owner boundary; no tool-side repair.",validate_physics,safe
PHYS-030,medium,open,SkullbonezSource/Runtime/Replay/RunReplayTools.cpp,274,modelCollection.ModelCount,"Replay prediction still uses collection count.",Replay/Physics snapshot,"Use body-store snapshot count and scene identity mapping.",validate_physics,safe
PHYS-031,medium,open,SkullbonezSource/Runtime/Replay/RunReplayTools.cpp,281,modelCollection.GetPhysicsEngine,"Replay prediction enters physics through collection.",Replay/Physics prediction service,"Inject PhysicsEngine/scene snapshot directly into prediction service.",validate_physics,safe
PHYS-032,medium,open,SkullbonezSource/Runtime/Replay/RunReplayVelocityEdit.inl,45,TryResolveReplayVelocityBodyView(GameModelCollection&),"Replay velocity editing borrows collection for body lookup.",Replay target resolver,"Resolve replay target to body/collider handles before edit path.",validate_physics,safe
PHYS-033,medium,open,SkullbonezSource/Runtime/RuntimeViewModel.cpp,62,bindings.models->GetModelCount,"UI view model reads model count through collection.",Runtime snapshot,"Publish model/body counts from scene/physics snapshots.",validate_fast,safe
PHYS-034,medium,open,tools/check_runtime_boundaries.py,0,physics authority guardrail,"Existing guardrails need to become the workqueue ratchet.",Boundary checker,"Add failing rules for new GameModelCollection authority and deleted accessors before source migration.",validate_fast,safe
PHYS-035,high,open,SkullbonezSource/Runtime/Replay/RunReplayPredictionVisualizer.inl,186,StepReplayPredictionJob mutation window,"Replay prediction steps the LIVE physics stores and restores snapshots every slice; one missed restore silently corrupts the live sim and breaks determinism.",Replay prediction service with prediction-owned PhysicsWorldStores bundle,"Once the step path takes explicit store bundles (PHYS-004/PHYS-020), give prediction its own copied bundle and delete liveRestore state, the mutation reserve, and diagnostics suppression. See fable_plans/03-prediction-isolated-world-plan.md.",validate_physics+validate_full,defer
