file,line,label,classification,source
SkullbonezSource/Core/LockOrderValidator.cpp,166,g_*,diagnostics,for ( auto it = g_heldLocks.rbegin(); it != g_heldLocks.rend(); ++it )
SkullbonezSource/Core/LockOrderValidator.cpp,166,g_*,diagnostics,for ( auto it = g_heldLocks.rbegin(); it != g_heldLocks.rend(); ++it )
SkullbonezSource/Core/LockOrderValidator.cpp,170,g_*,diagnostics,g_heldLocks.erase( std::next( it ).base() );
SkullbonezSource/Core/LockOrderValidator.cpp,199,g_*,diagnostics,": m_name( name ), m_id( g_nextLockId.fetch_add( 1, std::memory_order_relaxed ) )"
SkullbonezSource/Core/LockOrderValidator.cpp,201,LockOrderValidator::Instance(),diagnostics,"LockOrderValidator::Instance().RegisterLock( m_id, m_name );"
SkullbonezSource/Core/LockOrderValidator.cpp,207,LockOrderValidator::Instance(),diagnostics,"LockOrderValidator::Instance().RecordAcquisition( m_id, CurrentThreadId() );"
SkullbonezSource/Core/LockOrderValidator.cpp,218,LockOrderValidator::Instance(),diagnostics,"LockOrderValidator::Instance().RecordAcquisition( m_id, CurrentThreadId() );"
SkullbonezSource/Core/LockOrderValidator.cpp,225,LockOrderValidator::Instance(),diagnostics,"LockOrderValidator::Instance().RecordRelease( m_id, CurrentThreadId() );"
SkullbonezSource/Core/PlatformProfiler.cpp,42,g_*,diagnostics,std::atomic<bool> g_enabled{ false };
SkullbonezSource/Core/PlatformProfiler.cpp,43,g_*,diagnostics,std::atomic<bool> g_detailedRangesEnabled{ false };
SkullbonezSource/Core/PlatformProfiler.cpp,44,g_*,diagnostics,thread_local int g_cpuDepth = 0;
SkullbonezSource/Core/PlatformProfiler.cpp,239,g_*,diagnostics,"g_enabled.store( enabled && IsAvailable(), std::memory_order_relaxed );"
SkullbonezSource/Core/PlatformProfiler.cpp,240,g_*,diagnostics,if ( !g_enabled.load( std::memory_order_relaxed ) )
SkullbonezSource/Core/PlatformProfiler.cpp,242,g_*,diagnostics,"g_detailedRangesEnabled.store( false, std::memory_order_relaxed );"
SkullbonezSource/Core/PlatformProfiler.cpp,248,g_*,diagnostics,return g_enabled.load( std::memory_order_relaxed );
SkullbonezSource/Core/PlatformProfiler.cpp,253,g_*,diagnostics,"g_detailedRangesEnabled.store( enabled && IsEnabled(), std::memory_order_relaxed );"
SkullbonezSource/Core/PlatformProfiler.cpp,258,g_*,diagnostics,return g_detailedRangesEnabled.load( std::memory_order_relaxed );
SkullbonezSource/Core/PlatformProfiler.cpp,329,g_*,diagnostics,++g_cpuDepth;
SkullbonezSource/Core/PlatformProfiler.cpp,339,g_*,diagnostics,if ( g_cpuDepth <= 0 )
SkullbonezSource/Core/PlatformProfiler.cpp,348,g_*,diagnostics,--g_cpuDepth;
SkullbonezSource/Core/Profiler.cpp,76,Profiler::Instance(),diagnostics,Profiler& Profiler::Instance()
SkullbonezSource/Core/Profiler.cpp,342,Profiler::Instance(),diagnostics,"Profiler::Instance().RecordWorkerSample( m_fullPath, m_hash, m_workerIndex, m_startTicks, t.QuadPart );"
SkullbonezSource/Core/Profiler.cpp,444,Gfx(),diagnostics,"Gfx().PlatformProfilerGpuBegin( fullPath, hash );"
SkullbonezSource/Core/Profiler.cpp,468,Gfx(),diagnostics,Gfx().PlatformProfilerGpuEnd();
SkullbonezSource/Core/Profiler.cpp,480,Gfx(),diagnostics,if ( IsGfxReady() && Gfx().GetCapabilities().supportsGpuTimers )
SkullbonezSource/Core/Profiler.cpp,486,Gfx(),diagnostics,Gfx().GpuTimerBegin( idx );
SkullbonezSource/Core/Profiler.cpp,494,Gfx(),diagnostics,if ( IsGfxReady() && Gfx().GetCapabilities().supportsGpuTimers )
SkullbonezSource/Core/Profiler.cpp,500,Gfx(),diagnostics,Gfx().GpuTimerEnd( idx );
SkullbonezSource/Core/Profiler.cpp,509,Gfx(),diagnostics,if ( IsGfxReady() && Gfx().GetCapabilities().supportsGpuTimers )
SkullbonezSource/Core/Profiler.cpp,519,Gfx(),diagnostics,"if ( Gfx().GpuTimerRead( i, ms ) )"
SkullbonezSource/Core/Profiler.cpp,574,Gfx(),diagnostics,Gfx().GpuTimerInvalidate();
SkullbonezSource/Core/Profiler.h,280,Profiler::Instance(),diagnostics,"Profiler::Instance().Begin( m_fullPath, m_hash );"
SkullbonezSource/Core/Profiler.h,284,Profiler::Instance(),diagnostics,"Profiler::Instance().End( m_fullPath, m_hash );"
SkullbonezSource/Core/Profiler.h,299,Profiler::Instance(),diagnostics,"Profiler::Instance().GpuBegin( m_fullPath, m_hash );"
SkullbonezSource/Core/Profiler.h,303,Profiler::Instance(),diagnostics,"Profiler::Instance().GpuEnd( m_fullPath, m_hash );"
SkullbonezSource/Core/Profiler.h,341,Profiler::Instance(),diagnostics,"::SkullbonezCore::Basics::Profiler::Instance().Begin( name, PROFILE_PASTE( _profH_, __LINE__ ) );              \"
SkullbonezSource/Core/Profiler.h,348,Profiler::Instance(),diagnostics,"::SkullbonezCore::Basics::Profiler::Instance().End( name, PROFILE_PASTE( _profH_, __LINE__ ) );                \"
SkullbonezSource/Core/Profiler.h,360,Profiler::Instance(),diagnostics,"::SkullbonezCore::Basics::Profiler::Instance().GpuBegin( name, PROFILE_PASTE( _profH_, __LINE__ ) );           \"
SkullbonezSource/Core/Profiler.h,367,Profiler::Instance(),diagnostics,"::SkullbonezCore::Basics::Profiler::Instance().GpuEnd( name, PROFILE_PASTE( _profH_, __LINE__ ) );             \"
SkullbonezSource/Core/Profiler.h,381,Profiler::Instance(),diagnostics,#define PROFILE_FRAME_BEGIN() ::SkullbonezCore::Basics::Profiler::Instance().FrameBegin()
SkullbonezSource/Core/Profiler.h,382,Profiler::Instance(),diagnostics,#define PROFILE_FRAME_END() ::SkullbonezCore::Basics::Profiler::Instance().FrameEnd()
SkullbonezSource/Core/Profiler.h,383,Profiler::Instance(),diagnostics,#define PROFILE_SCHEDULE_RESET() ::SkullbonezCore::Basics::Profiler::Instance().ScheduleReset()
SkullbonezSource/Core/WorkerPool.cpp,43,g_*,normal runtime path,thread_local bool g_isWorkerThread = false;
SkullbonezSource/Core/WorkerPool.cpp,44,g_*,normal runtime path,thread_local int g_workerThreadIndex = -1;
SkullbonezSource/Core/WorkerPool.cpp,105,WorkerPool::Instance(),normal runtime path,WorkerPool& WorkerPool::Instance()
SkullbonezSource/Core/WorkerPool.cpp,142,g_*,normal runtime path,return g_isWorkerThread;
SkullbonezSource/Core/WorkerPool.cpp,148,g_*,normal runtime path,return g_workerThreadIndex;
SkullbonezSource/Core/WorkerPool.cpp,382,g_*,normal runtime path,g_isWorkerThread = true;
SkullbonezSource/Core/WorkerPool.cpp,383,g_*,normal runtime path,g_workerThreadIndex = workerIndex;
SkullbonezSource/Core/WorkerPool.cpp,415,g_*,normal runtime path,g_isWorkerThread = false;
SkullbonezSource/Core/WorkerPool.cpp,416,g_*,normal runtime path,g_workerThreadIndex = -1;
SkullbonezSource/Core/WorkerPool.cpp,422,WorkerPool::Instance(),normal runtime path,WorkerPool& pool = WorkerPool::Instance();
SkullbonezSource/GameObjects/GameModel.cpp,85,Cfg(),normal runtime path,m_physicsInfo.SetFrictionCoefficient( Cfg().frictionCoeff );
SkullbonezSource/GameObjects/GameModel.cpp,144,Cfg(),normal runtime path,m_ballPhysics.dragCoefficient = Cfg().sphereDragCoeff;
SkullbonezSource/GameObjects/GameModel.cpp,980,Cfg(),normal runtime path,if ( gap <= Cfg().contactEpsilon )
SkullbonezSource/GameObjects/GameModel.cpp,1053,Cfg(),normal runtime path,if ( gap <= Cfg().contactEpsilon )
SkullbonezSource/GameObjects/GameModel.cpp,1116,Cfg(),normal runtime path,if ( gap <= Cfg().contactEpsilon )
SkullbonezSource/GameObjects/GameModel.cpp,1257,Cfg(),normal runtime path,"const float contactThreshold = (std::max)( 0.0f, Cfg().terrainContactThreshold );"
SkullbonezSource/GameObjects/GameModel.cpp,1296,Cfg(),normal runtime path,"const float contactThreshold = (std::max)( 0.0f, Cfg().terrainContactThreshold );"
SkullbonezSource/GameObjects/GameModel.cpp,1323,Cfg(),normal runtime path,if ( preVn < -Cfg().contactRestitutionThreshold && out.pointCount > 1 )
SkullbonezSource/GameObjects/GameModel.cpp,1355,Cfg(),normal runtime path,"Cfg().contactEpsilon,"
SkullbonezSource/GameObjects/GameModel.cpp,1738,Cfg(),normal runtime path,const float supportGap = Cfg().contactEpsilon + Physics::BOX_TERRAIN_VERTEX_SUPPORT_SLACK;
SkullbonezSource/Physics/BoundingSphere.cpp,247,Cfg(),normal runtime path,return Cfg().sphereDragCoeff;
SkullbonezSource/Physics/Debug/BroadphaseVisualizer.cpp,363,Gfx(),diagnostics,if ( !m_enabled || m_cellCount == 0 || !Gfx().GetCapabilities().supportsDebugLines )
SkullbonezSource/Physics/Debug/BroadphaseVisualizer.cpp,384,Gfx(),diagnostics,"Gfx().DrawLinesColored( m_lineData.data(), vertCount, viewProj.Data() );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,105,Gfx(),diagnostics,Gfx().DestroyInstancedMesh( m_sphereInstMesh );
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,109,Gfx(),diagnostics,Gfx().DestroyInstancedMesh( m_boxInstMesh );
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,113,Gfx(),diagnostics,Gfx().DestroyDynamicVB( m_hullDynamicVB );
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,147,Gfx(),diagnostics,"m_sphereInstMesh = Gfx().CreateInstancedMesh( verts.data(),"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,178,Gfx(),diagnostics,"m_boxInstMesh = Gfx().CreateInstancedMesh( verts.data(),"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,198,CreateShaderFromActiveAssets(),diagnostics,"m_shader = SkullbonezCore::Assets::CreateShaderFromActiveAssets( ""shader.collision_visualizer"" );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,211,Gfx(),diagnostics,"m_hullDynamicVB = Gfx().CreateDynamicVB( attribs, 7, HULL_MAX_TRIANGLE_VERTICES );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,369,Gfx(),diagnostics,"Gfx().UploadInstanceData( mesh, instanceData.data(), static_cast<int>( instanceData.size() ) );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,370,Gfx(),diagnostics,"Gfx().DrawInstancedMesh( mesh, vertexCount, instanceCount );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,430,Gfx(),diagnostics,"Gfx().UploadAndDrawDynamicVB( m_hullDynamicVB, sHullDebugVertexData.data(), vertexCount );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,491,Gfx(),diagnostics,Gfx().SetBlend( translucent );
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,494,Gfx(),diagnostics,"Gfx().SetBlendFunc( BlendFactor::SrcAlpha, BlendFactor::OneMinusSrcAlpha );"
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,495,Gfx(),diagnostics,Gfx().SetDepthWrite( false );
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,534,Gfx(),diagnostics,Gfx().SetDepthWrite( true );
SkullbonezSource/Physics/Debug/CollisionVisualizer.cpp,536,Gfx(),diagnostics,Gfx().SetBlend( false );
SkullbonezSource/Physics/Debug/PhysicsDebugVisualizer.cpp,584,Gfx(),diagnostics,if ( m_flags == PHYSICS_DEBUG_NONE || models.GetModelCount() <= 0 || !Gfx().GetCapabilities().supportsDebugLines )
SkullbonezSource/Physics/Debug/PhysicsDebugVisualizer.cpp,617,Gfx(),diagnostics,"Gfx().DrawLinesColored( m_lineData.data(), static_cast<int>( m_lineData.size() / 6 ), viewProj.Data() );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,139,Cfg(),normal runtime path,"const float contactSlop = (std::max)( 0.0f, Cfg().persistentContactSlop );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,148,Cfg(),normal runtime path,"const float baumgarteBeta = (std::max)( 0.0f, Cfg().persistentContactBaumgarteBeta );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,157,Cfg(),normal runtime path,"(std::max)( 0.0f, (std::min)( Cfg().persistentContactPositionCorrectionPercent, 1.0f ) );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,158,Cfg(),normal runtime path,"const float maxBaumgarteBias = (std::max)( 0.0f, Cfg().terrainMaxBaumgarteBias );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,167,Cfg(),normal runtime path,"const int solverIterations = (std::max)( 1, Cfg().persistentContactSolverIterations );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,169,Cfg(),normal runtime path,const float objectFrictionCoeff = Cfg().objectFrictionCoeff;
SkullbonezSource/Physics/PersistentContactSolver.cpp,432,Cfg(),normal runtime path,"const float sleepLinear = (std::max)( 0.0f, Cfg().physicsSleepLinearSpeed );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,433,Cfg(),normal runtime path,"const float sleepAngular = (std::max)( 0.0f, Cfg().physicsSleepAngularSpeed );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,452,Cfg(),normal runtime path,"(std::max)( 1.0e-4f, m_gameModels[supportedIndex].GetMass() * fabsf( Cfg().gravity ) * dt * 0.01f );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,519,Cfg(),normal runtime path,conservativeContactRadius( a ) + conservativeContactRadius( b ) + Cfg().contactEpsilon;
SkullbonezSource/Physics/PersistentContactSolver.cpp,532,Cfg(),normal runtime path,"manifoldBuilt = BuildObjectContactManifold( a, b, aIndex, bIndex, Cfg().contactEpsilon, manifold );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,649,Cfg(),normal runtime path,const float warmStartTotal = m_gameModels[manifold.bodyA].GetMass() * fabsf( Cfg().gravity ) *
SkullbonezSource/Physics/PersistentContactSolver.cpp,782,Cfg(),normal runtime path,"const float terrainSlop = (std::max)( 0.0f, Cfg().terrainContactSlop );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,784,Cfg(),normal runtime path,vn > -Cfg().contactRestitutionThreshold )
SkullbonezSource/Physics/PersistentContactSolver.cpp,790,Cfg(),normal runtime path,else if ( fabsf( vn ) < Cfg().contactRestitutionThreshold )
SkullbonezSource/Physics/PersistentContactSolver.cpp,795,Cfg(),normal runtime path,"const float terrainBeta = (std::max)( 0.0f, Cfg().terrainContactBaumgarteBeta );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,796,Cfg(),normal runtime path,"const float maxTerrainBias = (std::max)( 0.0f, Cfg().terrainMaxBaumgarteBias );"
SkullbonezSource/Physics/PersistentContactSolver.cpp,804,Cfg(),normal runtime path,else if ( vn < -Cfg().contactRestitutionThreshold )
SkullbonezSource/Physics/PersistentContactSolver.cpp,810,Cfg(),normal runtime path,else if ( vn < -Cfg().contactRestitutionThreshold )
SkullbonezSource/Physics/PersistentContactSolver.cpp,816,Cfg(),normal runtime path,else if ( vn >= -Cfg().contactRestitutionThreshold )
SkullbonezSource/Physics/PersistentContactSolver.cpp,847,Cfg(),normal runtime path,? ( c.allowsTangentFriction ? Cfg().frictionCoeff * c.terrainWarmStart : 0.0f )
SkullbonezSource/Physics/PersistentContactSolver.cpp,849,Cfg(),normal runtime path,: objectFrictionCoeff * contactMass * fabsf( Cfg().gravity ) * dt );
SkullbonezSource/Physics/PersistentContactSolver.cpp,876,Cfg(),normal runtime path,? Cfg().frictionCoeff *
SkullbonezSource/Physics/PersistentContactSolver.cpp,985,Cfg(),normal runtime path,? Cfg().frictionCoeff *
SkullbonezSource/Physics/PersistentContactSolver.cpp,1052,Cfg(),normal runtime path,float normalForce = model.GetMass() * fabsf( Cfg().gravity ) * fabsf( manifold.normal.y );
SkullbonezSource/Physics/PersistentContactSolver.cpp,1181,Cfg(),normal runtime path,"const float rowContactSlop = c.isTerrain ? (std::max)( 0.0f, Cfg().terrainContactSlop ) : contactSlop;"
SkullbonezSource/Physics/PhysicsWorld.cpp,113,Cfg(),normal runtime path,PhysicsWorld::PhysicsWorld() : m_spatialGrid( Cfg().broadphaseCell )
SkullbonezSource/Physics/PhysicsWorld.cpp,799,Cfg(),normal runtime path,"m_sleepCounter[index] = static_cast<uint8_t>( (std::min)( Cfg().physicsSleepFrames, 255 ) );"
SkullbonezSource/Physics/PhysicsWorld.cpp,1008,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelTornadoField )
SkullbonezSource/Physics/PhysicsWorld.cpp,1008,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelTornadoField )
SkullbonezSource/Physics/PhysicsWorld.cpp,1010,WorkerPool::Instance(),normal runtime path,"SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor( 0,"
SkullbonezSource/Physics/PhysicsWorld.cpp,1645,Cfg(),normal runtime path,"const float sleepLinear = (std::max)( 0.0f, Cfg().physicsSleepLinearSpeed );"
SkullbonezSource/Physics/PhysicsWorld.cpp,1646,Cfg(),normal runtime path,"const float sleepAngular = (std::max)( 0.0f, Cfg().physicsSleepAngularSpeed );"
SkullbonezSource/Physics/PhysicsWorld.cpp,1649,Cfg(),normal runtime path,"const uint8_t SLEEP_FRAMES = static_cast<uint8_t>( (std::max)( 1, (std::min)( Cfg().physicsSleepFrames, 255 ) ) );"
SkullbonezSource/Physics/PhysicsWorld.cpp,1677,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelApplyForces )
SkullbonezSource/Physics/PhysicsWorld.cpp,1677,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelApplyForces )
SkullbonezSource/Physics/PhysicsWorld.cpp,1679,WorkerPool::Instance(),normal runtime path,"SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor( 0,"
SkullbonezSource/Physics/PhysicsWorld.cpp,1779,Cfg(),normal runtime path,Cfg().contactEpsilon + PHYSICS_FAST_SWEEP_PAIR_SLOP;
SkullbonezSource/Physics/PhysicsWorld.cpp,1941,Cfg(),normal runtime path,"Cfg().contactEpsilon,"
SkullbonezSource/Physics/PhysicsWorld.cpp,1963,Cfg(),normal runtime path,"BuildObjectContactManifold( m_gameModels[a], m_gameModels[b], a, b, Cfg().contactEpsilon, manifold );"
SkullbonezSource/Physics/PhysicsWorld.cpp,2401,Cfg(),normal runtime path,PHYSICS_NARROWPHASE_ISLAND_WORKER_ENABLED && Cfg().physicsParallel && Cfg().physicsParallelNarrowphase &&
SkullbonezSource/Physics/PhysicsWorld.cpp,2401,Cfg(),normal runtime path,PHYSICS_NARROWPHASE_ISLAND_WORKER_ENABLED && Cfg().physicsParallel && Cfg().physicsParallelNarrowphase &&
SkullbonezSource/Physics/PhysicsWorld.cpp,2404,WorkerPool::Instance(),normal runtime path,SkullbonezCore::Threading::WorkerPool::Instance().GetThreadCount() > 0;
SkullbonezSource/Physics/PhysicsWorld.cpp,2418,WorkerPool::Instance(),normal runtime path,SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor(
SkullbonezSource/Physics/PhysicsWorld.cpp,2518,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelTerrainDetect )
SkullbonezSource/Physics/PhysicsWorld.cpp,2518,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelTerrainDetect )
SkullbonezSource/Physics/PhysicsWorld.cpp,2520,WorkerPool::Instance(),normal runtime path,"SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor( 0,"
SkullbonezSource/Physics/PhysicsWorld.cpp,2574,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelIntegrate )
SkullbonezSource/Physics/PhysicsWorld.cpp,2574,Cfg(),normal runtime path,if ( Cfg().physicsParallel && Cfg().physicsParallelIntegrate )
SkullbonezSource/Physics/PhysicsWorld.cpp,2576,WorkerPool::Instance(),normal runtime path,"SkullbonezCore::Threading::WorkerPool::Instance().ParallelFor( 0,"
SkullbonezSource/Physics/RigidBody.cpp,220,Cfg(),normal runtime path,float limitSq = Cfg().velocityLimit * Cfg().velocityLimit;
SkullbonezSource/Physics/RigidBody.cpp,220,Cfg(),normal runtime path,float limitSq = Cfg().velocityLimit * Cfg().velocityLimit;
SkullbonezSource/Physics/RigidBody.cpp,223,Cfg(),normal runtime path,float scale = Cfg().velocityLimit / sqrtf( magSq );
SkullbonezSource/Physics/TornadoField.cpp,328,Gfx(),test/tool,if ( !m_config.visualizeVelocityField || !Gfx().GetCapabilities().supportsDebugLines )
SkullbonezSource/Physics/TornadoField.cpp,411,Gfx(),test/tool,"Gfx().DrawLinesColored( m_lineData.data(), vertCount, viewProj.Data() );"
SkullbonezSource/Rendering/GameModelRenderer.cpp,112,Cfg(),render pass,const bool alphaBlendedPass = Cfg().runtimeRender.renderCollisionVolumes || clampedMaterialAlpha < 1.0f;
SkullbonezSource/Rendering/GameModelRenderer.cpp,299,Cfg(),render pass,if ( SHADOW_PARALLEL_PREP_WORKER_ENABLED && Cfg().shadowParallelPrep &&
SkullbonezSource/Rendering/GameModelRenderer.cpp,304,WorkerPool::Instance(),render pass,SkullbonezCore::Threading::WorkerPool::Instance().ParallelCollectOrdered<ShadowCasterBatches>(
SkullbonezSource/Rendering/GameModelRenderer.cpp,478,Cfg(),render pass,if ( SHADOW_PARALLEL_PREP_WORKER_ENABLED && Cfg().shadowParallelPrep &&
SkullbonezSource/Rendering/GameModelRenderer.cpp,483,WorkerPool::Instance(),render pass,SkullbonezCore::Threading::WorkerPool::Instance().ParallelCollectOrdered<BoundsAccumulator>(
SkullbonezSource/Rendering/Helper.cpp,126,Gfx(),render pass,Gfx().SetBlend( true );
SkullbonezSource/Rendering/Helper.cpp,127,Gfx(),render pass,"Gfx().SetBlendFunc( BlendFactor::SrcAlpha, BlendFactor::OneMinusSrcAlpha );"
SkullbonezSource/Rendering/Helper.cpp,128,Gfx(),render pass,Gfx().SetDepthWrite( false );
SkullbonezSource/Rendering/Helper.cpp,136,Gfx(),render pass,Gfx().SetDepthWrite( true );
SkullbonezSource/Rendering/Helper.cpp,138,Gfx(),render pass,Gfx().SetBlend( false );
SkullbonezSource/Rendering/Helper.cpp,160,Gfx(),render pass,"Gfx().BindTexture( sMaterialTableTexture, MATERIAL_TABLE_TEXTURE_SLOT );"
SkullbonezSource/Rendering/Helper.cpp,177,Gfx(),render pass,"sMaterialTableTexture = Gfx().CreateTexture2D( rows, MATERIAL_TABLE_WIDTH, 1, 4, false, false );"
SkullbonezSource/Rendering/Helper.cpp,178,Gfx(),render pass,"Gfx().BindTexture( sMaterialTableTexture, MATERIAL_TABLE_TEXTURE_SLOT );"
SkullbonezSource/Rendering/Helper.cpp,227,Gfx(),render pass,"sConvexHullDynamicVB = Gfx().CreateDynamicVB( attribs, 11, HULL_MAX_TRIANGLE_VERTICES );"
SkullbonezSource/Rendering/Helper.cpp,279,Cfg(),render pass,const OrdinaryRenderConfig& ordinary = Cfg().ordinaryRender;
SkullbonezSource/Rendering/Helper.cpp,301,Cfg(),render pass,const OrdinaryRenderConfig& ordinary = Cfg().ordinaryRender;
SkullbonezSource/Rendering/Helper.cpp,368,Gfx(),render pass,"Gfx().BindTexture( enabled ? shadow->depthTextureHandle : 0, SHADOW_TEXTURE_SLOT );"
SkullbonezSource/Rendering/Helper.cpp,447,Gfx(),render pass,Gfx().DestroyInstancedMesh( sphereInstMesh );
SkullbonezSource/Rendering/Helper.cpp,452,Gfx(),render pass,Gfx().DestroyInstancedMesh( lowPolySphereInstMesh );
SkullbonezSource/Rendering/Helper.cpp,457,Gfx(),render pass,Gfx().DestroyInstancedMesh( boxInstMesh );
SkullbonezSource/Rendering/Helper.cpp,462,Gfx(),render pass,Gfx().DestroyInstancedMesh( pineInstMesh );
SkullbonezSource/Rendering/Helper.cpp,467,Gfx(),render pass,Gfx().DeleteTexture( sMaterialTableTexture );
SkullbonezSource/Rendering/Helper.cpp,472,Gfx(),render pass,Gfx().DestroyDynamicVB( sConvexHullDynamicVB );
