"finding_id","subsystem","severity","title","locations","trigger","impact","confidence"
"ASSET-005","Assets","Low","Windows drive-relative paths are misclassified as absolute","SkullbonezSource/Assets/AssetSystem.cpp:105-108;226-240","Resolve a path such as C:foo.jpg.","Resolution depends on ambient per-drive working directory instead of dataRoot.","High"
"PHYS-001","Physics","High","Fixed-step broadphase ignores body-local collider offsets","SkullbonezSource/Physics/PhysicsApi.h:241-242; Stages/PhysicsBroadphaseStage.cpp:61-69;481-493; PhysicsEngine.cpp:195-201","Use a rotated non-zero-offset collider whose body origin lies outside the target grid cell.","Actual collider pairs can be omitted before narrowphase, causing tunnelling.","High"
"PHYS-002","Physics","High","Sphere and box terrain paths simulate offset colliders at the body origin","SkullbonezSource/Physics/TerrainContactManifold.cpp:64-76;154-184;334-356; PhysicsBodyStore.cpp:147-168;241-294","Move a sphere/box with a non-zero local offset near terrain.","Bodies can fall through, float, or receive phantom terrain support.","High"
"PHYS-003","Physics","High","Object CCD uses unrotated local centers and sphere-sphere CCD omits offsets","SkullbonezSource/Physics/BoundingSphere.cpp:72-100; BoundingBox.cpp:150-223; ConvexHullShape.cpp:1086-1101; ObjectContactManifold.cpp:1893-1915","Sweep rotated bodies with non-zero collider-local positions.","CCD computes wrong or missing time of impact; fast displaced shapes tunnel.","High"
"PHYS-004","Physics","Medium","Release/Profile sphere model matrices discard non-zero local offsets","SkullbonezSource/Physics/BoundingSphere.h:68-78; BoundingSphere.cpp:154-199; Rendering/RenderInstanceStore.cpp:59-71","Render an offset sphere in Debug and Profile/Release.","Optimized rendering disagrees with Debug and with collision/query centers.","High"
"PHYS-005","Physics","Medium","Box model matrices treat local offsets as world-space offsets","SkullbonezSource/Physics/BoundingBox.cpp:67-79; ObjectContactManifold.cpp:190-200","Render a rotated box with non-zero local position.","Rendered box separates from its physical collider.","High"
"PHYS-006","Physics","Medium","BoundingSphere default constructor leaves promised local origin uninitialized","SkullbonezSource/Physics/BoundingSphere.h:57-68; BoundingSphere.cpp:32-38; Maths/Vector3.h:56-65","Default-construct BoundingSphere or a descriptor containing its default shape.","NaN/indeterminate offsets propagate from otherwise valid default descriptors.","High"
"PHYS-007","Physics","Medium","Rebinding a warmed point joint preserves impulse from the old body pair","SkullbonezSource/Physics/PhysicsWorld.cpp:1355-1401; Ragdoll.cpp:482-514","Warm a point joint, update only its bodies, then step.","Old impulse kicks the new body pair spuriously.","High"
"PHYS-008","Physics","Medium","Solver snapshot preflight accepts payloads restore cannot safely commit","SkullbonezSource/Physics/PhysicsWorld.cpp:553-631; Stages/PhysicsSleepController.State.cpp:80-105; Stages/PhysicsContactSolverStage.cpp:283-323","Supply malformed vector sizes or over-capacity replay solver data.","Restore can abort or silently install incoherent state after preflight said safe.","High"
"PHYS-009","Physics","Medium","Shared swept-overlay capacity can abort on valid high-speed scenes","SkullbonezSource/Physics/SpatialGrid.cpp:786-851;918-1051; Stages/PhysicsBroadphaseStage.cpp:114-132","Exceed 4096 aggregate overlay cells with fast/large bodies in one fixed step.","Steady gameplay can fatal and long trajectories can leave an uncovered suffix.","Medium-High"
"PHYS-010","Physics","Medium","Spatial-grid XOR key aliases distinct cells","SkullbonezSource/Physics/SpatialGrid.cpp:131-134; Runtime/Debug/BroadphaseVisualizer.cpp:73-77","Use cells (-5,-1,5) and (-5,1,-5), which both produce key 264535005.","Distinct cells can collide in key-based broadphase/debug tracking and corrupt occupancy identity.","High"
"WORLD-001","World","Medium","Passive camera water clamp uses startup config after live height changes","SkullbonezSource/World/Terrain.cpp:796-813; WorldEnvironment.cpp:513-524; Runtime/Input/InputController.cpp:315-324","Change live water height, then use a passive non-authored camera.","Camera can be engulfed by raised water or remain clamped above lowered water.","High"
"WORLD-002","World","Medium","Terrain factory returns success when GPU mesh or shader creation failed","SkullbonezSource/World/Terrain.cpp:245-266;360-369;1323-1335","Fail terrain shader compilation or DX12 mesh creation during scene load.","Scene reports success with invisible terrain and silent retries.","High"
"WORLD-003","World","Medium","SkyBox reset reports success after mesh or shader creation failure","SkullbonezSource/World/SkyBox.cpp:139-257;277-300; Runtime/Render/RenderResourceLifecycle.cpp:118-121","Fail sky shader or one face-mesh creation.","Resource initialization falsely succeeds, then rendering repeatedly lacks sky resources.","High"
"WORLD-005","World","Low","RAW height-map loader silently accepts oversized files","SkullbonezSource/World/Terrain.cpp:630-642","Load a RAW file containing more than mapSize squared bytes.","Only the prefix is used, silently cropping or misinterpreting the asset.","High"
"GAME-001","Gameplay","Medium","Inactive legacy field update wipes active authored-system timers","SkullbonezSource/Gameplay/TornadoGameplay.cpp:128-160;419-427; Physics/Stages/ExternalForceStage.cpp:234-267","Update a disabled legacy field while an authored TornadoSystem remains active.","All body exposure/cooldown timers reset, changing ejection timing.","High"
"GAME-002","Gameplay","Medium","Runtime body-count changes erase tornado state for all surviving bodies","SkullbonezSource/Gameplay/TornadoGameplay.cpp:406-427; Runtime/Scene/SceneWorld.cpp:551-649","Append or delete a body while other bodies have tornado exposure/cooldown.","Every surviving body's history is reset; deletion also lacks swap-last remapping.","High"
"GAME-003","Gameplay","Low","Single-precision tornado clock stops advancing at 262144 seconds","SkullbonezSource/Gameplay/TornadoField.h:151; TornadoField.cpp:218-292","Reach or restore elapsed time 262144 seconds and tick at 1/120 second.","Spawn, TTL, strength, and drift lifecycle freeze permanently.","High"
"SCENE-003","Scene Data","Medium","Direct and saved-state objects accept invalid physical dimensions and mass","SkullbonezSource/Scene/AuthoredSceneParserBodies.cpp:64-69;133-139;268-428; Runtime/Scene/SceneAuthoredSetup.cpp:591-729","Author non-positive/non-finite radius, extents, mass, inertia, or restitution in direct/state objects.","Invalid shapes and nominally dynamic fixed bodies enter physics/rendering.","High"
"SCENE-004","Scene Data","Medium","Style-only documents pass through full scene mutation pipeline","SkullbonezSource/Scene/AuthoredSceneParser.cpp:337-639","Put objects, simulation, runtime, or capture members in an imported .style.json.","A presentation style can inject bodies and mutate simulation/runtime policy.","High"
"SCENE-005","Scene Data","Medium","Signed integer and numeric-boolean readers narrow 64-bit JSON without bounds checks","SkullbonezSource/Scene/AuthoredSceneParserSchema.h:620-700","Provide integers outside the target int range.","Values wrap and may validate as different counts or booleans while parse reports success.","High"
"SCENE-006","Scene Data","Medium","Several authored path/text fields silently truncate","SkullbonezSource/Scene/AuthoredSceneParserSchema.h:719-722; AuthoredSceneParserRuntime.cpp:537-598; AuthoredSceneParserPresentation.cpp:244-248","Supply capture/log/filter text longer than its fixed buffer.","Loaded value differs from authored data and can target an unintended path.","High"
"RENDER-004","Rendering","Medium","Render graph omits required UAV ordering barriers","SkullbonezSource/Rendering/RenderGraph.cpp:578-718; RenderGraph.h:403-410","A later pass accesses a prior UAV-written resource while state remains UnorderedAccess.","Later GPU work may observe incomplete or stale writes.","High"
"RENDER-005","Rendering","Medium","Same-pass read/write declarations compile into impossible pre-callback state","SkullbonezSource/Rendering/RenderGraph.cpp:591-597;710-718; Runtime/Render/RuntimeRenderer.cpp:305-320","Declare one subresource as both read and write in the same pass.","Compiled transitions cannot satisfy both declarations during the callback.","High"
"RENDER-006","Rendering","Medium","Material-table texture failure is treated as successful primitive-batch readiness","SkullbonezSource/Rendering/PrimitiveBatchRenderer.cpp:152-187;387-427","Fail material-table texture creation.","Draws continue with null binding and incorrect materials while retrying each batch.","High"
"RENDER-007","Rendering","Medium","Negative interpolation alpha clamps position but extrapolates orientation","SkullbonezSource/Rendering/RenderInstanceStore.cpp:124-127;452-460;490-499","Refresh with presentationAlpha below zero.","Position stays at endpoint while orientation rotates away, producing inconsistent pose.","High"
"RENDER-008","Rendering","Medium","Malformed SDF advance metrics are trusted","SkullbonezSource/Rendering/Text.cpp:229-252","Load a structurally valid font atlas with NaN, infinite, negative, or extreme advances.","UI measurement and glyph geometry become broken or non-finite.","High"
"RENDER-009","Rendering","Medium","Extreme numeric material modes invoke out-of-range float-to-int conversion","SkullbonezSource/Rendering/RenderMaterial.h:126-140; Scene/AuthoredSceneParserSchema.h:967-972","Author a finite material mode such as 3.4e38.","Undefined conversion behavior and incorrect material selection.","High"
"RENDER-010","Rendering","Low","SDF generator reports success after failed GDI operations or short writes","SkullbonezSource/Rendering/Text.cpp:354;372;508-510","Cause glyph measurement/draw or atlas-file write failure.","Generator prints success and can leave a corrupt atlas.","High"
"RENDER-011","Rendering","Low","Frame-graph diagnostic writer never retries identical frame after I/O failure","SkullbonezSource/Rendering/RenderPipeline.cpp:163-194","Fail first write, restore access, and keep graph unchanged.","Diagnostic file remains missing/stale until graph shape changes.","High"
"DX12-001","DX12 Backend","High","Repeated window sizes exhaust retained graph-transient RTV pool","SkullbonezSource/Rendering/DX12/Dx12GraphTransientPool.cpp:143-161;227-255;521-552; RenderGraphTransientDX12.h:88-102","Resize cinematic rendering through more than the bounded distinct extents.","VRAM and 32-row RTV heap grow until fatal exhaustion.","High"
"DX12-002","DX12 Backend","High","DXR constants and TLAS instance descriptors race in-flight GPU reads","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DXR.cpp:473-516;782-798; TLASDX12.cpp:67-97;158-187","Submit consecutive DXR frames while the GPU is backlogged.","Previous frame can read next/torn camera and transform data.","High"
"DX12-003","DX12 Backend","High","Oversized geometry attributes cause out-of-bounds reads and stack writes","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp:257-279;604-633; RenderBackendDX12.Pipeline.cpp:147-275;393-403","Create geometry with 13+ dynamic or more than 8 instanced attributes.","Fixed arrays are over-read and pipeline stack layout can be overwritten.","High"
"DX12-004","DX12 Backend","High","DXR dispatch proceeds with unbound or stale material descriptor table","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DXR.cpp:826-878","Dispatch reflections with any invalid/missing texture handle.","Stale sampling, validation errors, or device faults.","High"
"DX12-005","DX12 Backend","Medium","Same-compile transient aliasing can fatal on incompatible physical state","SkullbonezSource/Rendering/RenderGraph.cpp:623-792; Rendering/DX12/Dx12GraphTransientPool.cpp:281-292;402-411","Alias non-overlapping logical textures whose initial/final access states differ.","Execution fatals because compiled logical state disagrees with retained physical state.","High"
"DX12-006","DX12 Backend","Medium","DestroyDynamicVB never destroys or reclaims bounded handle","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp:257-280;360-363","Perform 33 create/destroy cycles in one backend epoch.","Process fatals despite no live buffers because dead records accumulate.","High"
"DX12-007","DX12 Backend","Medium","Instanced draws can exceed uploaded vertex or instance data","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp:714-782","Pass counts larger than static/uploaded capacity or non-integral instance payload.","GPU fetches beyond valid records produce garbage/zero geometry.","High"
"SHADER-001","Shader Suite","Medium","Batched NPOT mip generation drops edge texels","SkullbonezData/shaders/generate_mips.hlsl:122-157; Rendering/DX12/RenderBackendDX12.Textures.cpp:395-399;477-494","Generate mips for 10x10 or another chain with odd intermediate dimensions.","Later mip levels omit last rows/columns, causing edge loss and filtering bias.","High"
"SHADER-002","Shader Suite","Medium","Separate skybox faces use wrap sampling and bleed opposite edges","SkullbonezData/shaders/unlit_textured.hlsl:12-13;62;87-91; reflect.rt.hlsl:197-244; Rendering/DX12/RenderBackendDX12.cpp:632-653","View/sample a cube-face boundary with different opposite-edge colors.","Visible seams in rasterized and raytraced sky/reflections.","High"
"SHADER-003","Shader Suite","Medium","Procedural sky is discontinuous at longitude wrap seam","SkullbonezData/shaders/sky_atmosphere.hlsl:126-171","Rotate camera across atan2 longitude seam with clouds/ridges enabled.","Fixed vertical discontinuity appears in procedural sky features.","High"
"SHADER-004","Shader Suite","Low","Trajectory ribbon does not clip segments at camera near plane","SkullbonezData/shaders/trajectory_ribbon.hlsl:72-120; Runtime/Editor/EditorTracer.cpp:541-586;789-815","Move camera through a trajectory segment spanning behind/in front of eye.","Ribbon width spikes, spans screen, or pops.","High"
"UI-001","UI Library","Medium","Canceling Replay Policy slider leaves uncommitted value displayed","SkullbonezSource/Runtime/UI/GameUI/UITabMemory.cpp:131-142;1463-1512;1535-1538 (ReplayMemoryDisplayRetention/ReplayMemoryDisplayBudgetMiB/HandleContentClick/UpdateActiveSlider/ResetPreviewState); SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:132-274 (SetVisible/SetMinimized/SetActiveTab/CancelInputCapture)","Begin dragging retention/budget then lose focus, switch tabs, or minimize before release.","UI indefinitely displays policy runtime never accepted.","High"
"UI-002","UI Library","Medium","Legal narrow clients make controls unreachable and violate clamp precondition","SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:648-663;1564-1570 (UpdateInput); SkullbonezSource/UI/UIWindowChrome.cpp:81-90 (ClampWindowToScreen); SkullbonezSource/Runtime/UI/GameUI/UIEditorMiniPalette.cpp:528-539 (EditorMinimizedWidth)","Resize client below 540 pixels, especially below 404 in minimized editor.","Controls go offscreen; std::clamp receives lo>hi, invoking undefined behavior.","High"
"UI-003","UI Library","Low","Programmatic scrolling after 1.2 seconds never reveals scrollbar","SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:499-503 (SetScrollY); SkullbonezSource/UI/UIScrollBar.cpp:42-48 (UIScrollBar::Draw)","Call SetScrollY when runtime now is greater than 1.2.","Scroll position changes without scrollbar feedback.","High"
"UI-004","UI Library","Low","Position-only draw-cache replay is effectively dead during dragging","SkullbonezSource/UI/UICache.cpp:102-108 (CanReplayPositionOnly); SkullbonezSource/Runtime/UI/GameUI/UIFrameComposition.cpp:525-541 (BuildUIInteractionSignature); SkullbonezSource/Runtime/UI/GameUI/UI.cpp:726-755 (InGameUI::Draw)","Drag across normal frames where time and mouse position change.","Full UI command rebuild occurs every frame instead of retained replay.","High"
"UI-005","UI Library","Low","Scene header overflows supported minimum width","SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:648-663;1234-1240 (UpdateInput); SkullbonezSource/Runtime/UI/GameUI/GameUILayout.cpp:46-51 (SceneTabComboWidth); SkullbonezSource/Runtime/UI/GameUI/UITabScene.cpp:129-141;629-644 (SetSceneHeaderBounds/HandleHeaderClick)","Open Scene tab at 520-pixel minimum window width.","Save Defaults extends beyond window and part cannot be hit.","High"
"APP-001","Runtime App","High","Automated next-scene load failure becomes successful process exit","SkullbonezSource/Runtime/App/RunFrame.cpp:1244-1280;1377-1416; SceneController.cpp:241-246;304-324","Complete one automated scene when the next queued scene is missing/corrupt.","Incomplete suite/capture exits 0 and masks content/engine failure.","High"
"APP-002","Runtime App","Medium","Recording save failure during orderly shutdown is not propagated","SkullbonezSource/Runtime/App/Run.cpp:380-389; Init.cpp:269-293; Runtime/Automation/InteractionAutomationRecorder.cpp:319-351","End normally with active recording while manifest publication fails.","Requested reproduction artifact is absent/corrupt while process exits successfully.","High"
"APP-003","Runtime App","Low","Raw mouse registration failure is silently accepted","SkullbonezSource/Runtime/App/Window.cpp:487-520; Runtime/Input/Input.cpp:337-366","RegisterRawInputDevices returns FALSE.","App starts but relative mouse-look receives no raw deltas or diagnostic.","High"
"AUTO-001","Runtime Automation","High","Second recording in same directory overwrites older manifest sidecars","SkullbonezSource/Runtime/Automation/InteractionAutomationRecorder.cpp:416-434; Runtime/App/RunFrame.cpp:133-145;247-311","Save two differently named recordings in one directory.","Older immutable recording becomes unreplayable because fixed scene/replay sidecars are replaced.","High"
"AUTO-002","Runtime Automation","High","Output-path collisions can overwrite input interaction script","SkullbonezSource/Runtime/Automation/InteractionAutomationController.cpp:5049-5100;5148-5154;5822-5828; InteractionAutomationReportWriter.cpp:2144-2155","Use the same/canonical-equivalent path for script and trace or report.","Playback invocation truncates and destroys its reproduction input.","High"
"AUTO-003","Runtime Automation","Medium","Recorded sidecars are consumed before SHA-256 validation","SkullbonezSource/Runtime/Startup/StartupLaunchResolution.cpp:753-828; Runtime/App/Run.cpp:670-750; InteractionAutomationController.cpp:4489-4493;5139-5162","Modify a digest-bound scene/replay sidecar before playback.","Altered data is loaded before rejection, and malformed data can exit without the required automation report.","High"
"AUTO-004","Runtime Automation","Medium","Malformed interaction JSON can throw instead of recoverable failure","SkullbonezSource/Runtime/Automation/InteractionAutomationController.cpp:4631-4637;5139-5162; Runtime/Startup/StartupLaunchResolution.cpp:761-774","Use non-object root or wrong-typed baseline replay/format fields.","Uncaught nlohmann exception terminates process instead of producing diagnostic/report.","High"
"AUTO-005","Runtime Automation","Medium","Final report short writes are reported as success","SkullbonezSource/Runtime/Automation/InteractionAutomationReportWriter.cpp:2144-2158","Let report destination open but fail during write or close.","Process may exit 0 with missing/truncated invalid JSON report.","High"
"AUTO-006","Runtime Automation","Medium","Replay artifact derivation can escape directory or collide with report","SkullbonezSource/Runtime/Automation/InteractionAutomationReportWriter.cpp:1299-1313;1340-1364;1864-1867;2144-2155","Use a dotted parent with extensionless report or a report ending .skreplay.","Artifact is misplaced or overwritten while report claims it was saved.","High"
"AUTO-007","Runtime Automation","Medium","Equal-frame legacy actions lose authored order","SkullbonezSource/Runtime/Automation/InteractionAutomationController.cpp:4811-4831;5320-5776;5842-5910","Load multiple order-dependent actions on one frame.","Unstable sort can permute commands and change deterministic result.","Medium"
"CAM-001","Runtime Camera","Medium","Locked dolly accepts steps beyond orbit-distance limits","SkullbonezSource/Runtime/Camera/Camera.cpp:92-162;283-289","Move forward/backward by a step crossing minViewMag or maxViewMag.","Camera penetrates/crosses target or exceeds maximum and retains invalid distance.","High"
"CAM-002","Runtime Camera","Medium","Simultaneous locked yaw and pitch drift fixed orbit target","SkullbonezSource/Runtime/Camera/Camera.cpp:156-230;408-413; Runtime/Input/InputController.cpp:283-287","Apply nonzero yaw and pitch together in locked mode.","Independent deltas move eye off orbit sphere, then recovery moves the target.","High"
"CAM-003","Runtime Camera","Medium","Terrain correction during tween is discarded at completion","SkullbonezSource/Runtime/Camera/CameraCollection.cpp:494-530","Tween to a destination below terrain, complete, then publish next frame.","Completion frame is clamped but next frame snaps to the original below-terrain pose.","High"
"CAP-001","Runtime Capture","Medium","Buffered screenshot close failures are reported as success","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:197-217;327-350;389-390","Let fwrite buffer data but fclose/flush fail.","Truncated image is logged as captured and automation may advance as if evidence exists.","High"
"CAP-002","Runtime Capture","Low","One-shot capture suppresses same-frame interval capture","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:470-515; Scene/AuthoredSceneParserRuntime.cpp:537-577","Schedule one-shot and interval capture for the same frame.","Expected interval artifact and counter event are permanently skipped.","High"
"CAP-003","Runtime Capture","Low","Mixed path separators derive wrong screenshot-and-exit output name","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:227-242","Use a scene path where a backslash occurs after any forward slash.","Output is written to wrong relative path or fails unexpectedly.","High"
"CAP-004","Runtime Capture","Low","Failed screenshot write destroys prior valid artifact","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:318-350;381-390","Overwrite an existing image and inject a short write.","Good artifact is truncated and corrupt partial remains at final path.","High"
"DBG-001","Runtime Debug","Medium","Scene activation preserves transient diagnostics from previous scene","SkullbonezSource/Runtime/Debug/CollisionVisualizer.cpp:276-304; PhysicsDebugVisualizer.cpp:596-623; BroadphaseVisualizer.cpp:268-392","Load scene B after diagnostic activity in same-sized scene A.","Scene-B frames falsely display prior-scene collision/contact/cell state.","High"
"DBG-002","Runtime Debug","Low","Disabling broadphase overlay freezes stale cells indefinitely","SkullbonezSource/Runtime/Debug/BroadphaseVisualizer.h:109-120; BroadphaseVisualizer.cpp:257-263;396-421","Disable overlay, change scene/state, wait, then re-enable.","Arbitrarily old cells render with restarted fade.","High"
"DBG-003","Runtime Debug","Medium","First collision-visualizer frame allocates inside guarded Render phase","SkullbonezSource/Runtime/Debug/CollisionVisualizer.cpp:165-243;490-500; Runtime/App/RunFrame.cpp:701-711","Enable collision visualization for first time under gameplay allocation guard.","Normal toggle causes allocation violations, failed strict run, and hitch.","High"
"DBG-004","Runtime Debug","Medium","Contact visualization grows uncapped linger cache during gameplay","SkullbonezSource/Runtime/Debug/PhysicsDebugVisualizer.h:77-78; PhysicsDebugVisualizer.cpp:606-623","Enable contacts with changing contact identities under allocation guard.","Repeated steady-gameplay allocations violate policy and grow transient memory.","High"
"DBG-005","Runtime Debug","Medium","Physics debug line staging reallocates with six bodies","SkullbonezSource/Runtime/Debug/PhysicsDebugVisualizer.cpp:176-182;237-321;626-669","Render Axes mode for six or more bodies under allocation guard.","Ordinary overlay exceeds reserve and allocates during Render phase.","High"
"DBG-006","Runtime Debug","Medium","Broadphase line staging covers only 200 of 2048 tracked cells","SkullbonezSource/Runtime/Debug/BroadphaseVisualizer.h:62;86; BroadphaseVisualizer.cpp:64-70;403-421","Render 201+ tracked cells under allocation guard.","Supported workload reallocates during guarded Render phase.","High"
"DIAG-001","Runtime Diagnostics","High","Unopenable perf log still enables perf-test scene control","SkullbonezSource/Runtime/Diagnostics/RuntimeDiagnostics.cpp:328-363; Runtime/App/RunFrame.cpp:1346-1352","Configure perfLog to an unopenable path and complete target frames.","No artifact is created, but scene reruns/advances and can exit successfully.","High"
"DIAG-002","Runtime Diagnostics","Medium","Scene memory totals omit most store allocations","SkullbonezSource/Runtime/Diagnostics/SceneMemoryDiagnostics.cpp:49-68; Physics/PhysicsBodyStore.cpp:1971-2002; Physics/ColliderStore.cpp:911-926","Inspect memory diagnostics for any non-empty scene.","Engine-owned memory is systematically underreported and hidden as unattributed process memory.","High"
"DIAG-003","Runtime Diagnostics","Medium","Perf CSV write and flush failures are silently successful","SkullbonezSource/Runtime/Diagnostics/RuntimeDiagnostics.cpp:49-65;224-231;282-305;407-440","Cause post-open write, flush, or close failure.","Run can exit successfully with missing/truncated performance evidence.","High"
"DIAG-004","Runtime Diagnostics","Medium","Main-memory dump reports success after partial write or close failure","SkullbonezSource/Runtime/Diagnostics/DiagnosticsRuntime.cpp:785-932","Cause post-open dump write or close failure.","Truncated invalid JSON is reported as successfully written.","High"
"DIAG-005","Runtime Diagnostics","Low","C-key overlay cycle clears independent terrain/pipeline layers","SkullbonezSource/Runtime/Diagnostics/DiagnosticsRuntime.cpp:467-495; DiagnosticsPhysicsUI.cpp:37-55","Enable terrain/pipeline layer, then press C.","Instead of preserving independent layer, the shortcut clears all debug layers.","High"
"DEV-001","Runtime DevelopmentTools","Medium","Retry after recoverable Start failure succeeds without renderer binding","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.cpp:304-309;385-392;780-783","Retry Start after initial BindContext failure on same owner.","Start reports success with null renderer; next visible frame fatals.","High"
"DEV-002","Runtime DevelopmentTools","Medium","First-build panel visibility automation is overwritten by default layout","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.cpp:565-572;970-1022;1504-1511","Apply SetPanelVisible before first dock layout is built.","Acknowledged automation command is silently lost.","High"
"DEV-003","Runtime DevelopmentTools","Medium","FocusPanel reports success when ImGui focused nothing","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.cpp:576-584;1517-1529;2735-2740; ThirdPtySource/imgui/imgui.cpp:13548-13554","Focus a never-created/default-hidden panel.","Automation focus counters report success while input remains on another window.","High"
"DEV-004","Runtime DevelopmentTools","Medium","Shutdown/restart preserves stale commands and lifecycle state","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorOwner.h:299-355; ImGuiEditorOwner.cpp:411-476;3157-3172","Generate a command, Shutdown before consume, then Start and consume.","Restarted editor can replay stale mutations and advertise old status.","High"
"DEV-005","Runtime DevelopmentTools","Low","Narrow resize produces impossible dock dimensions","SkullbonezSource/Runtime/DevelopmentTools/ImGuiEditorLayoutPolicy.cpp:94-115; Runtime/App/Window.cpp:271-278","Resize normal client below 540 pixels.","Central viewport collapses and split fractions exceed valid range.","High"
"DEV-006","Runtime DevelopmentTools","Low","Closing Game Viewport does not stop per-frame GPU capture","SkullbonezSource/Runtime/UI/OperatorEditorFrameComposer.cpp:249-261; DevelopmentTools/ImGuiEditorOwner.cpp:615-627;1876-1882","Hide only Game Viewport while editor remains visible.","Unused full-client capture continues and can still fail the frame/app.","High"
"DIR-001","Runtime Direction","Medium","Shot-list loader accepts non-finite numbers and degenerate camera poses","SkullbonezSource/Runtime/Direction/DemoDirector.cpp:80-114;164-196; DemoDirectorPlayback.cpp:499-505","Load equal eye/view or values converting to float infinity.","Director can publish wrong/non-finite camera matrices or freeze phases.","High"
"DIR-002","Runtime Direction","Medium","Director blends opposite up vectors through zero","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:62-73;503-505; Maths/Matrix4.cpp:143-159","Blend valid poses with up vectors (0,1,0) and (0,-1,0).","Camera produces abrupt 180-degree roll at midpoint.","High"
"DIR-003","Runtime Direction","Low","Timer transitions discard elapsed-time overshoot","SkullbonezSource/Runtime/Direction/DemoDirectorPlayback.cpp:316-319;499-509","Tick a timer phase with dt exceeding its remaining duration.","Timeline timing becomes frame-cadence dependent and accumulates delay.","High"
