"finding_id","subsystem","severity","title","locations","trigger","impact","confidence","fixed"
"RENDER-005","Rendering","Medium","Same-pass read/write declarations compile into impossible pre-callback state","SkullbonezSource/Rendering/RenderGraph.cpp:591-597;710-718; Runtime/Render/RuntimeRenderer.cpp:305-320","Declare one subresource as both read and write in the same pass.","Compiled transitions cannot satisfy both declarations during the callback.","High","No"
"RENDER-006","Rendering","Medium","Material-table texture failure is treated as successful primitive-batch readiness","SkullbonezSource/Rendering/PrimitiveBatchRenderer.cpp:152-187;387-427","Fail material-table texture creation.","Draws continue with null binding and incorrect materials while retrying each batch.","High","No"
"RENDER-007","Rendering","Medium","Negative interpolation alpha clamps position but extrapolates orientation","SkullbonezSource/Rendering/RenderInstanceStore.cpp:124-127;452-460;490-499","Refresh with presentationAlpha below zero.","Position stays at endpoint while orientation rotates away, producing inconsistent pose.","High","No"
"RENDER-008","Rendering","Medium","Malformed SDF advance metrics are trusted","SkullbonezSource/Rendering/Text.cpp:229-252","Load a structurally valid font atlas with NaN, infinite, negative, or extreme advances.","UI measurement and glyph geometry become broken or non-finite.","High","No"
"RENDER-009","Rendering","Medium","Extreme numeric material modes invoke out-of-range float-to-int conversion","SkullbonezSource/Rendering/RenderMaterial.h:126-140; Scene/AuthoredSceneParserSchema.h:967-972","Author a finite material mode such as 3.4e38.","Undefined conversion behavior and incorrect material selection.","High","No"
"RENDER-010","Rendering","Low","SDF generator reports success after failed GDI operations or short writes","SkullbonezSource/Rendering/Text.cpp:354;372;508-510","Cause glyph measurement/draw or atlas-file write failure.","Generator prints success and can leave a corrupt atlas.","High","No"
"RENDER-011","Rendering","Low","Frame-graph diagnostic writer never retries identical frame after I/O failure","SkullbonezSource/Rendering/RenderPipeline.cpp:163-194","Fail first write, restore access, and keep graph unchanged.","Diagnostic file remains missing/stale until graph shape changes.","High","No"
"DX12-001","DX12 Backend","High","Repeated window sizes exhaust retained graph-transient RTV pool","SkullbonezSource/Rendering/DX12/Dx12GraphTransientPool.cpp:143-161;227-255;521-552; RenderGraphTransientDX12.h:88-102","Resize cinematic rendering through more than the bounded distinct extents.","VRAM and 32-row RTV heap grow until fatal exhaustion.","High","No"
"DX12-002","DX12 Backend","High","DXR constants and TLAS instance descriptors race in-flight GPU reads","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DXR.cpp:473-516;782-798; TLASDX12.cpp:67-97;158-187","Submit consecutive DXR frames while the GPU is backlogged.","Previous frame can read next/torn camera and transform data.","High","No"
"DX12-003","DX12 Backend","High","Oversized geometry attributes cause out-of-bounds reads and stack writes","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp:257-279;604-633; RenderBackendDX12.Pipeline.cpp:147-275;393-403","Create geometry with 13+ dynamic or more than 8 instanced attributes.","Fixed arrays are over-read and pipeline stack layout can be overwritten.","High","No"
"DX12-004","DX12 Backend","High","DXR dispatch proceeds with unbound or stale material descriptor table","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DXR.cpp:826-878","Dispatch reflections with any invalid/missing texture handle.","Stale sampling, validation errors, or device faults.","High","No"
"DX12-005","DX12 Backend","Medium","Same-compile transient aliasing can fatal on incompatible physical state","SkullbonezSource/Rendering/RenderGraph.cpp:623-792; Rendering/DX12/Dx12GraphTransientPool.cpp:281-292;402-411","Alias non-overlapping logical textures whose initial/final access states differ.","Execution fatals because compiled logical state disagrees with retained physical state.","High","No"
"DX12-006","DX12 Backend","Medium","DestroyDynamicVB never destroys or reclaims bounded handle","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp:257-280;360-363","Perform 33 create/destroy cycles in one backend epoch.","Process fatals despite no live buffers because dead records accumulate.","High","No"
"DX12-007","DX12 Backend","Medium","Instanced draws can exceed uploaded vertex or instance data","SkullbonezSource/Rendering/DX12/RenderBackendDX12.DynamicGeometry.cpp:714-782","Pass counts larger than static/uploaded capacity or non-integral instance payload.","GPU fetches beyond valid records produce garbage/zero geometry.","High","No"
"SHADER-001","Shader Suite","Medium","Batched NPOT mip generation drops edge texels","SkullbonezData/shaders/generate_mips.hlsl:122-157; Rendering/DX12/RenderBackendDX12.Textures.cpp:395-399;477-494","Generate mips for 10x10 or another chain with odd intermediate dimensions.","Later mip levels omit last rows/columns, causing edge loss and filtering bias.","High","No"
"SHADER-002","Shader Suite","Medium","Separate skybox faces use wrap sampling and bleed opposite edges","SkullbonezData/shaders/unlit_textured.hlsl:12-13;62;87-91; reflect.rt.hlsl:197-244; Rendering/DX12/RenderBackendDX12.cpp:632-653","View/sample a cube-face boundary with different opposite-edge colors.","Visible seams in rasterized and raytraced sky/reflections.","High","No"
"SHADER-003","Shader Suite","Medium","Procedural sky is discontinuous at longitude wrap seam","SkullbonezData/shaders/sky_atmosphere.hlsl:126-171","Rotate camera across atan2 longitude seam with clouds/ridges enabled.","Fixed vertical discontinuity appears in procedural sky features.","High","No"
"SHADER-004","Shader Suite","Low","Trajectory ribbon does not clip segments at camera near plane","SkullbonezData/shaders/trajectory_ribbon.hlsl:72-120; Runtime/Editor/EditorTracer.cpp:541-586;789-815","Move camera through a trajectory segment spanning behind/in front of eye.","Ribbon width spikes, spans screen, or pops.","High","No"
"UI-001","UI Library","Medium","Canceling Replay Policy slider leaves uncommitted value displayed","SkullbonezSource/Runtime/UI/GameUI/UITabMemory.cpp:131-142;1463-1512;1535-1538 (ReplayMemoryDisplayRetention/ReplayMemoryDisplayBudgetMiB/HandleContentClick/UpdateActiveSlider/ResetPreviewState); SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:132-274 (SetVisible/SetMinimized/SetActiveTab/CancelInputCapture)","Begin dragging retention/budget then lose focus, switch tabs, or minimize before release.","UI indefinitely displays policy runtime never accepted.","High","No"
"UI-002","UI Library","Medium","Legal narrow clients make controls unreachable and violate clamp precondition","SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:648-663;1564-1570 (UpdateInput); SkullbonezSource/UI/UIWindowChrome.cpp:81-90 (ClampWindowToScreen); SkullbonezSource/Runtime/UI/GameUI/UIEditorMiniPalette.cpp:528-539 (EditorMinimizedWidth)","Resize client below 540 pixels, especially below 404 in minimized editor.","Controls go offscreen; std::clamp receives lo>hi, invoking undefined behavior.","High","No"
"UI-003","UI Library","Low","Programmatic scrolling after 1.2 seconds never reveals scrollbar","SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:499-503 (SetScrollY); SkullbonezSource/UI/UIScrollBar.cpp:42-48 (UIScrollBar::Draw)","Call SetScrollY when runtime now is greater than 1.2.","Scroll position changes without scrollbar feedback.","High","No"
"UI-004","UI Library","Low","Position-only draw-cache replay is effectively dead during dragging","SkullbonezSource/UI/UICache.cpp:102-108 (CanReplayPositionOnly); SkullbonezSource/Runtime/UI/GameUI/UIFrameComposition.cpp:525-541 (BuildUIInteractionSignature); SkullbonezSource/Runtime/UI/GameUI/UI.cpp:726-755 (InGameUI::Draw)","Drag across normal frames where time and mouse position change.","Full UI command rebuild occurs every frame instead of retained replay.","High","No"
"UI-005","UI Library","Low","Scene header overflows supported minimum width","SkullbonezSource/Runtime/UI/GameUI/UIWindowInteractionOwner.cpp:648-663;1234-1240 (UpdateInput); SkullbonezSource/Runtime/UI/GameUI/GameUILayout.cpp:46-51 (SceneTabComboWidth); SkullbonezSource/Runtime/UI/GameUI/UITabScene.cpp:129-141;629-644 (SetSceneHeaderBounds/HandleHeaderClick)","Open Scene tab at 520-pixel minimum window width.","Save Defaults extends beyond window and part cannot be hit.","High","No"
"APP-001","Runtime App","High","Automated next-scene load failure becomes successful process exit","SkullbonezSource/Runtime/App/RunFrame.cpp:1244-1280;1377-1416; SceneController.cpp:241-246;304-324","Complete one automated scene when the next queued scene is missing/corrupt.","Incomplete suite/capture exits 0 and masks content/engine failure.","High","Yes"
"APP-002","Runtime App","Medium","Recording save failure during orderly shutdown is not propagated","SkullbonezSource/Runtime/App/Run.cpp:380-389; Init.cpp:269-293; Runtime/Automation/InteractionAutomationRecorder.cpp:319-351","End normally with active recording while manifest publication fails.","Requested reproduction artifact is absent/corrupt while process exits successfully.","High","No"
"APP-003","Runtime App","Low","Raw mouse registration failure is silently accepted","SkullbonezSource/Runtime/App/Window.cpp:487-520; Runtime/Input/Input.cpp:337-366","RegisterRawInputDevices returns FALSE.","App starts but relative mouse-look receives no raw deltas or diagnostic.","High","No"
"AUTO-001","Runtime Automation","High","Second recording in same directory overwrites older manifest sidecars","SkullbonezSource/Runtime/Automation/InteractionAutomationRecorder.cpp:416-434; Runtime/App/RunFrame.cpp:133-145;247-311","Save two differently named recordings in one directory.","Older immutable recording becomes unreplayable because fixed scene/replay sidecars are replaced.","High","No"
"AUTO-002","Runtime Automation","High","Output-path collisions can overwrite input interaction script","SkullbonezSource/Runtime/Automation/InteractionAutomationController.cpp:5049-5100;5148-5154;5822-5828; InteractionAutomationReportWriter.cpp:2144-2155","Use the same/canonical-equivalent path for script and trace or report.","Playback invocation truncates and destroys its reproduction input.","High","No"
"AUTO-003","Runtime Automation","Medium","Recorded sidecars are consumed before SHA-256 validation","SkullbonezSource/Runtime/Startup/StartupLaunchResolution.cpp:753-828; Runtime/App/Run.cpp:670-750; InteractionAutomationController.cpp:4489-4493;5139-5162","Modify a digest-bound scene/replay sidecar before playback.","Altered data is loaded before rejection, and malformed data can exit without the required automation report.","High","No"
"AUTO-004","Runtime Automation","Medium","Malformed interaction JSON can throw instead of recoverable failure","SkullbonezSource/Runtime/Automation/InteractionAutomationController.cpp:4631-4637;5139-5162; Runtime/Startup/StartupLaunchResolution.cpp:761-774","Use non-object root or wrong-typed baseline replay/format fields.","Uncaught nlohmann exception terminates process instead of producing diagnostic/report.","High","No"
"AUTO-005","Runtime Automation","Medium","Final report short writes are reported as success","SkullbonezSource/Runtime/Automation/InteractionAutomationReportWriter.cpp:2144-2158","Let report destination open but fail during write or close.","Process may exit 0 with missing/truncated invalid JSON report.","High","No"
"AUTO-006","Runtime Automation","Medium","Replay artifact derivation can escape directory or collide with report","SkullbonezSource/Runtime/Automation/InteractionAutomationReportWriter.cpp:1299-1313;1340-1364;1864-1867;2144-2155","Use a dotted parent with extensionless report or a report ending .skreplay.","Artifact is misplaced or overwritten while report claims it was saved.","High","No"
"AUTO-007","Runtime Automation","Medium","Equal-frame legacy actions lose authored order","SkullbonezSource/Runtime/Automation/InteractionAutomationController.cpp:4811-4831;5320-5776;5842-5910","Load multiple order-dependent actions on one frame.","Unstable sort can permute commands and change deterministic result.","Medium","No"
"CAM-001","Runtime Camera","Medium","Locked dolly accepts steps beyond orbit-distance limits","SkullbonezSource/Runtime/Camera/Camera.cpp:92-162;283-289","Move forward/backward by a step crossing minViewMag or maxViewMag.","Camera penetrates/crosses target or exceeds maximum and retains invalid distance.","High","No"
"CAM-002","Runtime Camera","Medium","Simultaneous locked yaw and pitch drift fixed orbit target","SkullbonezSource/Runtime/Camera/Camera.cpp:156-230;408-413; Runtime/Input/InputController.cpp:283-287","Apply nonzero yaw and pitch together in locked mode.","Independent deltas move eye off orbit sphere, then recovery moves the target.","High","No"
"CAM-003","Runtime Camera","Medium","Terrain correction during tween is discarded at completion","SkullbonezSource/Runtime/Camera/CameraCollection.cpp:494-530","Tween to a destination below terrain, complete, then publish next frame.","Completion frame is clamped but next frame snaps to the original below-terrain pose.","High","No"
"CAP-001","Runtime Capture","Medium","Buffered screenshot close failures are reported as success","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:197-217;327-350;389-390","Let fwrite buffer data but fclose/flush fail.","Truncated image is logged as captured and automation may advance as if evidence exists.","High","No"
"CAP-002","Runtime Capture","Low","One-shot capture suppresses same-frame interval capture","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:470-515; Scene/AuthoredSceneParserRuntime.cpp:537-577","Schedule one-shot and interval capture for the same frame.","Expected interval artifact and counter event are permanently skipped.","High","No"
"CAP-003","Runtime Capture","Low","Mixed path separators derive wrong screenshot-and-exit output name","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:227-242","Use a scene path where a backslash occurs after any forward slash.","Output is written to wrong relative path or fails unexpectedly.","High","No"
"CAP-004","Runtime Capture","Low","Failed screenshot write destroys prior valid artifact","SkullbonezSource/Runtime/Capture/CaptureSystem.cpp:318-350;381-390","Overwrite an existing image and inject a short write.","Good artifact is truncated and corrupt partial remains at final path.","High","No"
"DBG-001","Runtime Debug","Medium","Scene activation preserves transient diagnostics from previous scene","SkullbonezSource/Runtime/Debug/CollisionVisualizer.cpp:276-304; PhysicsDebugVisualizer.cpp:596-623; BroadphaseVisualizer.cpp:268-392","Load scene B after diagnostic activity in same-sized scene A.","Scene-B frames falsely display prior-scene collision/contact/cell state.","High","No"
"DBG-002","Runtime Debug","Low","Disabling broadphase overlay freezes stale cells indefinitely","SkullbonezSource/Runtime/Debug/BroadphaseVisualizer.h:109-120; BroadphaseVisualizer.cpp:257-263;396-421","Disable overlay, change scene/state, wait, then re-enable.","Arbitrarily old cells render with restarted fade.","High","No"
"DBG-003","Runtime Debug","Medium","First collision-visualizer frame allocates inside guarded Render phase","SkullbonezSource/Runtime/Debug/CollisionVisualizer.cpp:165-243;490-500; Runtime/App/RunFrame.cpp:701-711","Enable collision visualization for first time under gameplay allocation guard.","Normal toggle causes allocation violations, failed strict run, and hitch.","High","No"
